date,entry,sma_at_entry,risk,target,exit,outcome,r,days_held,_skipped_thin,ticker,kind,ema_agrees,week_of_month
2023-02-16,18034.1,17832.51,201.59,18437.28,17554.3,sma_exit,-2.38,4,3.0,^NSEI,index,True,3
2023-03-09,17766.5,17667.7,98.8,17964.11,17412.9,sma_exit,-3.579,1,,^NSEI,index,False,2
2023-04-05,17428.05,17158.92,269.13,17966.31,17966.31,target,2.0,15,,^NSEI,index,True,1
2023-06-28,18829.15,18728.15,101.0,19031.16,19031.16,target,2.0,1,,^NSEI,index,True,4
2023-09-05,19545.15,19395.29,149.86,19844.88,19844.88,target,2.0,3,,^NSEI,index,True,1
2023-10-17,19843.3,19661.12,182.18,20207.67,19624.7,sma_exit,-1.2,2,,^NSEI,index,True,3
2024-02-02,21832.95,21646.97,185.98,22204.91,21616.05,sma_exit,-1.166,6,,^NSEI,index,True,1
2024-02-15,21870.85,21688.66,182.19,22235.22,22235.22,target,2.0,4,,^NSEI,index,True,3
2024-03-02,22353.3,22023.73,329.57,23012.44,21997.7,sma_exit,-1.079,7,,^NSEI,index,True,1
2024-04-04,22529.95,22192.8,337.15,23204.25,22272.5,sma_exit,-0.764,6,,^NSEI,index,True,1
2024-04-29,22625.95,22433.46,192.49,23010.93,22442.7,sma_exit,-0.952,4,,^NSEI,index,True,5
2024-05-18,22502.15,22373.59,128.56,22759.27,22759.27,target,2.0,3,,^NSEI,index,True,3
2024-06-07,22910.15,22669.66,240.49,23391.13,23391.13,target,2.0,1,,^NSEI,index,True,1
2024-08-01,24999.75,24595.89,403.86,25807.48,24055.6,sma_exit,-2.338,2,,^NSEI,index,True,1
2024-08-20,24638.8,24493.7,145.1,24928.99,24928.99,target,2.0,4,,^NSEI,index,True,3
2024-09-16,25430.5,25104.6,325.9,26082.3,26082.3,target,2.0,8,,^NSEI,index,True,3
2024-11-27,24343.3,23977.07,366.23,25075.77,23914.15,sma_exit,-1.172,1,,^NSEI,index,True,4
2024-12-03,24301.7,23980.41,321.29,24944.29,24336.0,sma_exit,0.107,10,,^NSEI,index,True,1
2025-02-01,23546.8,23220.0,326.8,24200.39,23071.8,sma_exit,-1.454,7,,^NSEI,index,True,1
2025-03-20,22940.7,22526.12,414.58,23769.86,23769.86,target,2.0,3,,^NSEI,index,True,3
2025-04-17,23452.2,23203.41,248.79,23949.78,23949.78,target,2.0,1,,^NSEI,index,True,3
2025-05-15,24973.8,24390.12,583.68,26141.16,24716.6,sma_exit,-0.441,12,,^NSEI,index,True,3
2025-06-10,25160.1,24829.46,330.64,25821.38,24718.6,sma_exit,-1.335,3,,^NSEI,index,True,2
2025-06-24,25057.0,24881.86,175.14,25407.28,25407.28,target,2.0,2,,^NSEI,index,True,4
2025-08-20,25012.65,24703.61,309.04,25630.73,24712.05,sma_exit,-0.973,4,,^NSEI,index,True,3
2025-10-10,25220.9,25053.89,167.01,25554.91,25554.91,target,2.0,4,,^NSEI,index,True,2
2025-11-17,26010.7,25801.22,209.48,26429.66,25986.0,sma_exit,-0.118,12,,^NSEI,index,True,3
2025-12-24,26233.55,25994.3,239.25,26712.05,25942.1,sma_exit,-1.218,2,,^NSEI,index,True,4
2026-01-02,26197.55,26002.81,194.74,26587.02,25876.85,sma_exit,-1.647,4,,^NSEI,index,True,1
2026-02-09,25818.55,25419.61,398.94,26616.44,25471.1,sma_exit,-0.871,4,,^NSEI,index,True,2
2026-02-18,25764.4,25570.76,193.64,26151.68,25454.35,sma_exit,-1.601,1,,^NSEI,index,True,3
2026-04-10,23990.75,23179.19,811.56,25613.87,23997.55,sma_exit,0.008,13,,^NSEI,index,True,2
2026-06-17,24011.4,23581.55,429.85,24871.1,23882.05,sma_exit,-0.301,14,,^NSEI,index,True,3
2026-07-31,24342.95,24099.56,243.39,24829.73,24614.9,timeout,1.117,2,,^NSEI,index,True,5
2023-01-04,43482.8,43112.97,369.83,44222.46,42608.7,sma_exit,-2.364,1,8.0,^NSEBANK,index,False,1
2023-02-16,41795.45,41393.45,402.0,42599.46,41131.75,sma_exit,-1.651,1,,^NSEBANK,index,True,3
2023-04-05,40857.6,39894.37,963.23,42784.06,42784.06,target,2.0,12,,^NSEBANK,index,True,1
2023-06-07,44266.15,43986.61,279.54,44825.23,43944.2,sma_exit,-1.152,3,,^NSEBANK,index,True,1
2023-06-30,44501.1,43963.92,537.18,45575.47,45575.47,target,2.0,2,,^NSEBANK,index,True,5
2023-08-30,44655.75,44349.41,306.34,45268.42,44060.75,sma_exit,-1.942,1,,^NSEBANK,index,False,5
2023-09-05,44656.05,44241.18,414.87,45485.78,45485.78,target,2.0,4,,^NSEBANK,index,True,1
2023-11-09,43799.35,43370.45,428.9,44657.16,43449.6,sma_exit,-0.815,9,,^NSEBANK,index,True,2
2024-02-16,46297.7,45600.46,697.24,47692.19,45963.15,sma_exit,-0.48,8,,^NSEBANK,index,True,3
2024-03-04,47433.85,46455.63,978.22,49390.29,46981.3,sma_exit,-0.463,6,,^NSEBANK,index,True,1
2024-04-02,47646.8,47045.14,601.66,48850.12,48850.12,target,2.0,5,,^NSEBANK,index,True,1
2024-04-25,48302.7,47987.26,315.44,48933.57,48933.57,target,2.0,2,,^NSEBANK,index,True,4
2024-05-27,49052.95,48261.96,790.99,50634.93,50634.93,target,2.0,5,,^NSEBANK,index,True,4
2024-06-07,49672.75,48678.02,994.73,51662.21,51662.21,target,2.0,7,,^NSEBANK,index,True,1
2024-09-11,51366.0,51101.64,264.36,51894.72,51894.72,target,2.0,2,,^NSEBANK,index,False,2
2024-09-16,51994.1,51324.23,669.87,53333.84,53333.84,target,2.0,3,,^NSEBANK,index,True,3
2024-11-28,52555.5,51405.57,1149.93,54855.37,52139.55,sma_exit,-0.362,14,,^NSEBANK,index,True,4
2025-01-31,49426.2,48889.64,536.56,50499.31,50499.31,target,2.0,4,,^NSEBANK,index,True,5
2025-03-20,49807.55,48607.03,1200.52,52208.59,49860.1,sma_exit,0.044,11,,^NSEBANK,index,True,3
2025-04-16,52486.35,51133.78,1352.57,55191.49,55191.49,target,2.0,2,,^NSEBANK,index,True,3
2025-05-19,55418.9,54960.05,458.85,56336.59,54877.35,sma_exit,-1.18,1,,^NSEBANK,index,True,3
2025-09-15,54852.25,54494.21,358.04,55568.32,55568.32,target,2.0,3,,^NSEBANK,index,True,3
2025-10-06,55616.45,55119.47,496.98,56610.42,56610.42,target,2.0,4,,^NSEBANK,index,True,1
2026-01-02,59743.2,59251.9,491.3,60725.8,59251.55,sma_exit,-1.001,5,,^NSEBANK,index,True,1
2026-01-14,59767.55,59506.48,261.07,60289.69,59404.2,sma_exit,-1.392,3,,^NSEBANK,index,True,2
2026-02-09,60389.4,59554.78,834.62,62058.63,60529.0,sma_exit,0.167,14,,^NSEBANK,index,True,2
2026-04-10,55583.1,53350.77,2232.33,60047.76,55403.6,sma_exit,-0.08,12,,^NSEBANK,index,True,2
2026-06-11,55555.85,54298.1,1257.75,58071.35,58071.35,target,2.0,9,,^NSEBANK,index,True,2
2022-11-29,1235.17,1181.93,53.24,1341.66,1184.35,sma_exit,-0.954,8,5.0,RELIANCE.NS,stock,True,5
2023-02-16,1106.32,1071.81,34.51,1175.35,1074.84,sma_exit,-0.912,7,,RELIANCE.NS,stock,True,3
2023-04-06,1066.28,1029.36,36.92,1140.12,1104.89,sma_exit,1.046,27,,RELIANCE.NS,stock,True,1
2023-05-30,1148.44,1120.95,27.49,1203.43,1121.16,sma_exit,-0.992,1,,RELIANCE.NS,stock,True,5
2023-06-07,1129.24,1120.66,8.58,1146.4,1146.4,target,2.0,5,,RELIANCE.NS,stock,True,1
2023-07-03,1160.54,1148.92,11.62,1183.78,1183.78,target,2.0,3,,RELIANCE.NS,stock,True,1
2023-08-11,1275.0,1261.83,13.17,1301.34,1260.0,sma_exit,-1.139,5,,RELIANCE.NS,stock,True,2
2023-10-17,1177.28,1168.47,8.81,1194.9,1162.0,sma_exit,-1.734,1,,RELIANCE.NS,stock,True,3
2023-11-06,1167.48,1154.51,12.97,1193.41,1193.41,target,2.0,11,,RELIANCE.NS,stock,True,1
2024-01-29,1364.15,1346.08,18.07,1400.29,1400.29,target,2.0,1,,RELIANCE.NS,stock,True,5
2024-03-04,1500.45,1475.49,24.96,1550.36,1478.93,sma_exit,-0.862,3,,RELIANCE.NS,stock,True,1
2024-06-28,1537.5,1468.17,69.33,1676.17,1555.15,sma_exit,0.255,14,,RELIANCE.NS,stock,True,4
2024-08-21,1503.93,1483.41,20.52,1544.98,1492.98,sma_exit,-0.534,11,,RELIANCE.NS,stock,True,3
2024-09-26,1501.5,1480.38,21.12,1543.75,1479.0,sma_exit,-1.065,2,,RELIANCE.NS,stock,True,4
2024-12-02,1303.85,1279.19,24.66,1353.16,1278.2,sma_exit,-1.04,7,,RELIANCE.NS,stock,True,1
2025-03-12,1258.0,1216.27,41.73,1341.47,1252.6,sma_exit,-0.129,12,,RELIANCE.NS,stock,True,2
2025-04-22,1300.9,1247.99,52.91,1406.72,1406.72,target,2.0,5,,RELIANCE.NS,stock,True,4
2025-06-09,1451.5,1429.29,22.21,1495.91,1427.9,sma_exit,-1.063,4,,RELIANCE.NS,stock,True,2
2025-06-20,1448.0,1432.47,15.53,1479.06,1479.06,target,2.0,4,,RELIANCE.NS,stock,True,3
2025-08-21,1424.9,1395.25,29.65,1484.2,1384.9,sma_exit,-1.349,3,,RELIANCE.NS,stock,True,3
2025-09-16,1400.8,1384.25,16.55,1433.9,1383.0,sma_exit,-1.076,6,,RELIANCE.NS,stock,True,3
2025-10-20,1423.3,1383.09,40.21,1503.71,1503.71,target,2.0,6,,RELIANCE.NS,stock,True,3
2025-12-23,1577.5,1550.23,27.27,1632.03,1545.6,sma_exit,-1.17,3,,RELIANCE.NS,stock,True,4
2026-01-02,1592.5,1555.97,36.53,1665.57,1507.6,sma_exit,-2.324,2,,RELIANCE.NS,stock,True,1
2026-02-09,1464.0,1414.9,49.1,1562.2,1409.5,sma_exit,-1.11,8,,RELIANCE.NS,stock,True,2
2026-03-24,1415.6,1395.19,20.41,1456.42,1348.1,sma_exit,-3.307,2,,RELIANCE.NS,stock,True,4
2026-04-29,1395.2,1349.18,46.02,1487.23,1388.2,sma_exit,-0.152,7,,RELIANCE.NS,stock,True,5
2026-06-19,1334.0,1306.88,27.12,1388.23,1301.0,sma_exit,-1.217,5,,RELIANCE.NS,stock,False,3
2026-08-03,1309.7,1294.76,14.94,1339.58,1290.6,sma_exit,-1.279,1,,RELIANCE.NS,stock,True,1
2022-12-12,817.43,806.35,11.08,839.6,808.8,sma_exit,-0.779,7,8.0,HDFCBANK.NS,stock,True,2
2023-01-20,825.0,807.36,17.64,860.29,807.9,sma_exit,-0.969,4,,HDFCBANK.NS,stock,True,3
2023-04-03,806.48,790.15,16.33,839.14,839.14,target,2.0,5,,HDFCBANK.NS,stock,True,1
2023-06-22,818.63,804.85,13.78,846.19,846.19,target,2.0,5,,HDFCBANK.NS,stock,True,4
2023-09-08,807.0,793.72,13.28,833.56,833.56,target,2.0,5,,HDFCBANK.NS,stock,True,2
2023-11-21,759.5,745.72,13.78,787.05,787.05,target,2.0,8,,HDFCBANK.NS,stock,True,3
2024-03-04,718.0,708.51,9.49,736.98,715.53,sma_exit,-0.26,11,,HDFCBANK.NS,stock,True,1
2024-04-02,736.9,724.03,12.87,762.63,762.63,target,2.0,2,,HDFCBANK.NS,stock,True,1
2024-05-03,769.75,760.65,9.1,787.94,753.08,sma_exit,-1.833,2,,HDFCBANK.NS,stock,True,1
2024-05-27,759.95,740.26,19.69,799.33,799.33,target,2.0,5,,HDFCBANK.NS,stock,True,4
2024-06-07,782.73,753.05,29.68,842.09,842.09,target,2.0,11,,HDFCBANK.NS,stock,True,1
2024-08-09,826.65,811.37,15.28,857.21,801.6,sma_exit,-1.639,2,,HDFCBANK.NS,stock,True,2
2024-08-30,823.7,815.62,8.08,839.85,813.48,sma_exit,-1.266,1,,HDFCBANK.NS,stock,True,5
2024-09-05,822.4,816.57,5.83,834.06,834.06,target,2.0,5,,HDFCBANK.NS,stock,True,1
2024-10-23,870.0,843.67,26.33,922.67,859.1,sma_exit,-0.414,14,,HDFCBANK.NS,stock,True,4
2024-11-25,879.5,868.5,11.0,901.5,901.5,target,2.0,1,,HDFCBANK.NS,stock,True,4
2025-01-30,840.58,830.14,10.44,861.46,861.46,target,2.0,4,,HDFCBANK.NS,stock,True,5
2025-03-17,860.4,850.16,10.24,880.89,880.89,target,2.0,3,,HDFCBANK.NS,stock,True,3
