ts,Open,High,Low,Close,Volume
2022-10-06,3170.22,3217.53,3110.16,3184.76,2934671.0
2022-10-07,3179.91,3209.92,3129.64,3177.58,1991011.0
2022-10-10,3135.31,3178.7,3116.26,3147.19,1640801.0
2022-10-11,3158.15,3236.14,3149.86,3174.05,2624429.0
2022-10-12,3196.39,3196.39,3049.03,3125.28,3066129.0
2022-10-13,3119.8,3163.24,3091.69,3134.98,1898081.0
2022-10-14,3172.16,3204.15,3097.36,3111.56,1386703.0
2022-10-17,3113.02,3136.28,3040.4,3114.57,2047769.0
2022-10-18,3149.86,3197.36,3127.66,3184.08,1686490.0
2022-10-19,3199.3,3209.0,3160.18,3177.24,1440394.0
2022-10-20,3160.52,3262.32,3145.98,3254.66,2280852.0
2022-10-21,3271.92,3278.8,3186.7,3210.84,1156009.0
2022-10-24,3223.54,3238.18,3187.09,3208.8,256063.0
2022-10-25,3220.58,3242.93,3193.48,3199.79,846501.0
2022-10-27,3218.54,3252.62,3196.39,3223.54,1140981.0
2022-10-28,3220.63,3284.57,3197.02,3221.89,1364946.0
2022-10-31,3238.03,3257.47,3224.6,3245.3,593750.0
2022-11-01,3259.31,3497.37,3249.71,3466.59,4531586.0
2022-11-02,3470.76,3514.53,3418.4,3471.44,2614436.0
2022-11-03,3441.67,3504.4,3434.35,3480.84,1315345.0
2022-11-04,3530.86,3732.32,3457.91,3716.28,6304100.0
2022-11-07,3734.89,3891.22,3703.43,3839.74,6173923.0
2022-11-09,3855.64,3924.48,3822.73,3875.23,3849857.0
2022-11-10,3873.09,3907.02,3841.25,3870.43,2386584.0
2022-11-11,3916.72,3925.4,3853.85,3886.52,1523346.0
2022-11-14,3876.97,3953.56,3868.25,3899.8,1859769.0
2022-11-15,3902.23,3940.96,3899.27,3933.98,1098951.0
2022-11-16,3933.49,3971.01,3745.65,3835.86,3155228.0
2022-11-17,3848.86,3909.93,3780.99,3895.54,2337399.0
2022-11-18,3905.43,3919.63,3862.43,3897.14,1486119.0
2022-11-21,3897.28,3897.28,3802.27,3879.73,1538874.0
2022-11-22,3879.73,3932.23,3866.31,3910.9,1758648.0
2022-11-23,3926.41,3937.9,3754.82,3784.19,2951090.0
2022-11-24,3790.69,3814.92,3704.4,3801.45,2885172.0
2022-11-25,3809.11,3829.37,3727.96,3782.06,2585191.0
2022-11-28,3780.41,3805.23,3753.26,3767.56,1154392.0
2022-11-29,3766.45,3795.53,3746.14,3760.05,1494033.0
2022-11-30,3778.86,3819.67,3749.0,3798.35,2030385.0
2022-12-01,3817.35,3824.57,3783.37,3795.63,975608.0
