ts,Open,High,Low,Close,Volume
2022-10-06,810.55,815.85,786.65,788.6,6502696.0
2022-10-07,792.0,796.8,784.7,793.1,6025535.0
2022-10-10,784.95,794.8,779.7,792.35,3519403.0
2022-10-11,797.5,797.5,776.0,780.3,3670401.0
2022-10-12,780.3,781.35,769.2,775.55,5984178.0
2022-10-13,775.0,779.0,767.65,768.9,2841978.0
2022-10-14,779.95,779.95,763.05,765.95,3608189.0
2022-10-17,761.0,771.0,759.85,766.0,4565966.0
2022-10-18,769.85,785.6,768.65,783.15,4391110.0
2022-10-19,787.95,788.65,779.5,783.4,5219164.0
2022-10-20,782.0,794.0,778.3,792.9,4756702.0
2022-10-21,790.0,802.85,789.75,797.45,4807736.0
2022-10-24,800.0,807.5,800.0,802.1,521120.0
2022-10-25,806.15,806.35,798.7,802.3,3184269.0
2022-10-27,806.5,822.2,802.3,817.1,8159049.0
2022-10-28,819.0,824.4,811.3,816.85,3905058.0
2022-10-31,823.0,833.8,820.0,832.0,5487097.0
2022-11-01,828.0,841.45,821.05,835.55,10487839.0
2022-11-02,830.0,830.0,807.25,809.85,11729762.0
2022-11-03,809.75,824.4,804.2,818.65,5897833.0
2022-11-04,815.7,821.8,809.2,816.4,3768078.0
2022-11-07,817.0,824.05,809.0,822.7,7171420.0
2022-11-09,824.2,825.5,814.45,819.05,3969146.0
2022-11-10,819.8,830.7,817.55,825.75,4425129.0
2022-11-11,830.75,836.9,823.8,826.9,4325037.0
2022-11-14,818.0,830.8,817.0,821.9,10406560.0
2022-11-15,822.65,838.75,822.65,835.25,6229609.0
2022-11-16,837.5,844.05,828.05,841.2,3444983.0
2022-11-17,841.8,849.4,838.4,846.15,4545523.0
2022-11-18,849.95,851.85,831.1,837.3,7405884.0
2022-11-21,837.0,852.8,835.0,851.2,5526751.0
2022-11-22,853.4,860.55,845.1,847.6,7601533.0
2022-11-23,851.85,851.85,841.6,843.25,4596783.0
2022-11-24,846.0,851.0,837.75,848.35,3455120.0
2022-11-25,852.0,860.0,841.6,846.85,2991043.0
2022-11-28,840.25,852.55,836.05,837.4,3668846.0
2022-11-29,839.0,844.8,835.0,835.85,2680249.0
2022-11-30,834.8,852.0,832.6,848.75,6874390.0
2022-12-01,853.0,853.2,841.6,848.6,4506636.0
2022-12-02,851.4,851.95,839.1,848.65,3505172.0
2022-12-05,851.0,851.6,840.85,844.1,3311312.0
2022-12-06,844.9,845.0,829.7,833.35,5567349.0
2022-12-07,837.55,841.6,832.0,834.0,3771850.0
2022-12-08,833.0,840.2,826.3,832.6,4822016.0
2022-12-09,830.3,836.6,823.95,834.9,4615840.0
2022-12-12,832.6,836.95,825.4,828.4,3149712.0
2022-12-13,822.0,840.0,822.0,838.05,3832993.0
2022-12-14,840.65,842.0,828.15,829.2,7491333.0
2022-12-15,829.0,831.0,824.35,826.35,2996437.0
2022-12-16,825.0,832.7,819.9,822.75,4309612.0
2022-12-19,822.7,845.05,822.0,840.4,6397166.0
2022-12-20,839.75,839.75,822.0,828.95,2828407.0
2022-12-21,833.0,833.05,812.35,814.0,5079047.0
2022-12-22,819.0,824.7,809.5,816.6,3626817.0
2022-12-23,814.0,817.95,805.0,808.65,2804426.0
2022-12-26,805.05,815.2,801.15,811.0,6023126.0
2022-12-27,815.0,819.45,805.0,814.8,1781339.0
2022-12-28,813.0,813.9,801.45,803.8,2907741.0
2022-12-29,807.05,824.75,760.1,820.75,6110313.0
2022-12-30,824.7,824.8,804.95,806.1,3113243.0
2023-01-02,806.25,816.2,805.6,813.5,1626846.0
2023-01-03,810.35,818.8,808.5,817.6,1717603.0
2023-01-04,818.95,820.45,806.2,811.8,2970216.0
2023-01-05,825.0,825.0,803.75,807.1,5297349.0
2023-01-06,807.55,812.25,792.0,796.0,3199618.0
2023-01-09,802.7,821.5,801.05,819.4,4340729.0
2023-01-10,826.1,826.1,790.3,792.85,8392344.0
2023-01-11,775.0,779.65,751.65,765.55,28389020.0
2023-01-12,765.0,769.3,753.55,756.9,12732671.0
2023-01-13,757.0,765.95,752.0,764.3,12279288.0
2023-01-16,766.4,768.1,754.65,759.15,5779293.0
2023-01-17,759.15,768.9,758.75,765.7,6594428.0
2023-01-18,768.2,780.0,766.0,776.55,5800899.0
2023-01-19,776.0,776.5,765.65,772.0,4169463.0
2023-01-20,775.85,775.85,758.3,764.45,6289718.0
2023-01-23,767.9,776.0,763.85,772.7,2685320.0
