ts,Open,High,Low,Close,Volume
2022-10-06,364.0,372.9,363.3,367.35,9168721.0
2022-10-07,367.0,370.45,361.8,368.9,4146147.0
2022-10-10,359.0,367.95,359.0,366.25,3136910.0
2022-10-11,367.45,368.85,356.5,358.5,3726803.0
2022-10-12,360.4,367.75,357.65,366.85,3919945.0
2022-10-13,365.25,366.5,357.65,362.55,3680844.0
2022-10-14,368.15,371.4,358.0,358.7,3591214.0
2022-10-17,357.0,361.8,351.5,359.4,4311301.0
2022-10-18,362.1,369.3,362.0,365.65,2859316.0
2022-10-19,367.45,377.35,366.05,370.3,6360663.0
2022-10-20,368.5,374.5,365.5,373.4,4313536.0
2022-10-21,374.4,375.0,364.6,369.8,3605145.0
2022-10-24,374.0,374.85,366.7,367.65,821354.0
2022-10-25,369.0,375.5,367.1,369.75,2997145.0
2022-10-27,374.0,385.8,369.7,383.5,6417781.0
2022-10-28,385.85,385.9,380.4,384.6,3983841.0
2022-10-31,386.0,389.6,382.3,385.5,3315136.0
2022-11-01,387.0,392.0,385.0,389.65,4655517.0
2022-11-02,388.0,391.0,380.0,385.15,4447048.0
2022-11-03,383.0,388.5,380.6,384.75,3805252.0
2022-11-04,385.2,389.6,384.05,387.3,2031080.0
2022-11-07,388.5,399.75,387.05,397.8,4970279.0
2022-11-09,398.0,402.15,395.05,397.05,4556379.0
2022-11-10,396.25,400.35,386.6,391.15,4250191.0
2022-11-11,395.5,405.0,395.5,400.55,6566573.0
2022-11-14,402.3,408.2,400.3,406.5,3134766.0
2022-11-15,407.0,409.5,401.4,405.45,2773827.0
2022-11-16,405.5,406.6,396.55,401.25,2711719.0
2022-11-17,401.4,405.45,400.15,402.9,2978531.0
2022-11-18,404.0,404.4,397.6,400.4,2907982.0
2022-11-21,399.0,400.3,391.8,394.7,3235829.0
2022-11-22,395.05,396.35,387.8,390.7,4092932.0
2022-11-23,392.7,394.75,390.1,391.6,1919756.0
2022-11-24,393.6,394.7,389.0,392.15,1822066.0
2022-11-25,393.5,400.9,392.45,396.6,3583881.0
2022-11-28,396.0,402.0,394.2,395.2,3330551.0
2022-11-29,394.65,397.85,391.0,392.55,3448176.0
2022-11-30,393.05,404.3,389.35,402.65,8733967.0
2022-12-01,405.8,414.8,402.35,412.7,7881750.0
2022-12-02,414.8,416.25,409.85,410.75,6744874.0
2022-12-05,412.3,418.5,410.0,417.25,6361034.0
2022-12-06,416.25,418.0,412.2,414.4,2654909.0
2022-12-07,413.5,415.9,405.0,408.5,3417623.0
2022-12-08,407.1,410.7,402.65,404.95,2154022.0
2022-12-09,406.05,409.95,394.0,402.25,5608181.0
2022-12-12,402.0,404.0,396.15,402.7,2914514.0
2022-12-13,403.15,406.35,399.5,400.35,2023379.0
2022-12-14,402.1,410.4,401.5,407.2,4437819.0
2022-12-15,406.15,409.8,398.25,399.7,2719975.0
2022-12-16,399.0,402.35,392.0,393.65,3388346.0
