ts,Open,High,Low,Close,Volume
2022-10-06,729.98,731.3,717.1,718.5,12548440.0
2022-10-07,715.13,717.48,710.18,715.4,13297692.0
2022-10-10,704.0,713.0,699.1,707.5,13109280.0
2022-10-11,700.55,708.5,699.73,700.33,14520826.0
2022-10-12,701.6,707.43,698.65,704.9,9223534.0
2022-10-13,701.03,703.13,692.0,696.8,14710516.0
2022-10-14,708.5,723.5,707.63,719.5,12849786.0
2022-10-17,717.5,728.8,713.5,723.28,18410190.0
2022-10-18,729.03,731.45,720.0,721.93,10561062.0
2022-10-19,732.0,738.7,726.7,729.33,12965604.0
2022-10-20,722.0,726.45,721.25,724.4,7897140.0
2022-10-21,726.0,728.83,717.0,719.3,10492264.0
2022-10-24,727.15,731.5,727.15,730.53,2165170.0
2022-10-25,730.55,733.9,722.5,725.45,13773248.0
2022-10-27,732.25,733.68,725.63,727.2,15936784.0
2022-10-28,725.0,733.5,723.7,729.35,10474146.0
2022-10-31,736.0,749.0,733.63,748.35,12828438.0
2022-11-01,751.75,764.5,749.45,756.63,19073380.0
2022-11-02,758.5,764.13,755.8,757.1,12720150.0
2022-11-03,748.85,760.13,748.5,753.78,10332282.0
2022-11-04,751.6,758.05,744.8,748.58,10816904.0
2022-11-07,755.0,756.0,746.05,754.4,9835460.0
2022-11-09,757.53,758.98,752.0,754.18,9269720.0
2022-11-10,748.55,763.5,747.53,762.38,12773322.0
2022-11-11,772.5,818.5,769.0,805.58,56720422.0
2022-11-14,806.0,814.0,799.0,807.53,19194340.0
2022-11-15,811.58,811.58,802.63,809.5,11029262.0
2022-11-16,809.33,821.0,806.0,816.45,13577308.0
2022-11-17,809.05,815.78,806.95,809.08,12097740.0
2022-11-18,810.5,811.5,802.63,806.95,10458616.0
2022-11-21,803.83,806.0,795.1,798.68,8342460.0
2022-11-22,800.0,802.18,795.5,797.5,8546224.0
2022-11-23,802.5,802.5,797.0,799.58,10185530.0
2022-11-24,802.98,816.0,799.58,812.58,17197072.0
2022-11-25,814.85,815.85,807.05,808.83,8409884.0
2022-11-28,801.45,803.73,797.03,800.13,16105978.0
2022-11-29,798.63,806.18,796.43,798.93,12637518.0
2022-11-30,798.55,806.45,798.55,804.23,15184806.0
2022-12-01,811.0,818.5,807.5,809.75,20445466.0
2022-12-02,805.0,809.3,802.58,803.55,7810502.0
2022-12-05,804.98,807.3,798.1,806.48,11592044.0
2022-12-06,800.5,806.85,800.0,805.58,12353092.0
2022-12-07,807.08,809.3,802.23,805.23,11673418.0
2022-12-08,805.0,813.0,802.5,809.75,14803476.0
2022-12-09,813.0,817.43,810.0,815.53,11962922.0
2022-12-12,812.5,826.8,810.7,821.88,14434198.0
2022-12-13,825.0,828.5,822.5,824.15,17031582.0
2022-12-14,826.5,832.75,825.0,831.13,14227640.0
2022-12-15,828.53,834.7,813.53,815.9,18182130.0
2022-12-16,810.03,822.55,804.5,819.83,14647654.0
2022-12-19,822.0,823.33,813.1,822.38,9604322.0
2022-12-20,810.1,818.2,810.1,816.7,7174656.0
2022-12-21,820.5,822.4,803.28,808.8,9268770.0
2022-12-22,811.1,813.75,804.5,806.03,9746516.0
2022-12-23,793.5,802.08,792.73,798.83,10691132.0
2022-12-26,799.75,819.5,795.0,814.73,9906796.0
2022-12-27,816.8,817.98,806.75,815.55,7926722.0
2022-12-28,811.55,816.5,811.55,814.9,8691870.0
2022-12-29,810.05,821.75,805.5,820.65,11012896.0
2022-12-30,822.5,822.5,810.0,814.08,7122640.0
2023-01-02,813.5,819.88,809.28,814.35,4381378.0
2023-01-03,811.1,821.5,811.1,819.68,8378030.0
2023-01-04,817.5,822.88,803.5,805.03,10351600.0
2023-01-05,807.5,809.03,794.7,799.85,10941436.0
2023-01-06,801.0,804.55,789.1,797.2,9092462.0
2023-01-09,798.0,805.78,795.0,798.75,10729340.0
2023-01-10,800.0,800.0,782.5,784.15,16371766.0
2023-01-11,783.98,799.0,780.0,795.45,15195798.0
2023-01-12,793.9,801.95,792.08,799.7,9250070.0
2023-01-13,799.38,804.95,793.0,800.33,9244546.0
2023-01-16,807.5,810.65,790.15,792.65,14748094.0
2023-01-17,794.9,805.5,788.75,804.45,10786354.0
2023-01-18,802.5,820.8,799.85,818.65,19090642.0
2023-01-19,818.5,825.0,816.5,822.05,11172162.0
2023-01-20,822.05,834.5,821.7,830.48,18843404.0
2023-01-23,833.13,841.3,830.7,836.55,15444400.0
2023-01-24,837.53,851.2,837.5,847.75,24983940.0
2023-01-25,845.7,846.48,822.65,824.33,14704142.0
2023-01-27,816.0,818.5,794.98,807.9,35179948.0
2023-01-30,797.5,812.65,791.0,807.08,18512822.0
2023-01-31,809.85,811.35,797.5,801.75,18596244.0
2023-02-01,812.0,832.5,803.0,813.78,17302790.0
2023-02-02,804.05,812.25,794.38,801.68,17497106.0
2023-02-03,805.5,830.25,803.5,829.4,14411100.0
2023-02-06,830.0,834.7,823.1,825.88,11167150.0
2023-02-07,829.7,832.45,816.3,827.1,10264588.0
2023-02-08,827.13,834.1,825.0,827.0,8444826.0
2023-02-09,830.0,830.83,817.78,825.28,11777336.0
2023-02-10,824.4,829.25,821.1,828.55,8172116.0
2023-02-13,827.5,830.88,822.28,829.18,5736944.0
2023-02-14,832.5,838.75,828.98,836.85,10908592.0
2023-02-15,839.0,839.0,828.38,835.15,11438712.0
2023-02-16,836.6,840.95,830.5,832.13,8062500.0
2023-02-17,830.5,834.08,821.48,827.95,8956270.0
2023-02-20,830.0,834.73,817.4,820.18,8086706.0
2023-02-21,820.0,831.18,817.0,823.25,12389296.0
2023-02-22,819.5,820.98,804.53,807.1,10359102.0
2023-02-23,806.5,809.43,796.05,801.63,27882010.0
2023-02-24,808.95,808.95,792.6,794.48,17061740.0
2023-02-27,792.95,799.5,788.65,796.45,14312972.0
2023-02-28,796.0,802.65,794.35,799.8,18993992.0
2023-03-01,806.0,806.5,797.88,799.03,14137256.0
2023-03-02,797.0,802.98,791.0,792.23,17391814.0
2023-03-03,798.0,810.0,794.0,807.95,14984736.0
2023-03-06,810.0,819.73,809.03,814.18,27004130.0
2023-03-08,810.0,819.75,810.0,815.28,20099082.0
2023-03-09,814.98,822.98,813.5,815.35,20699744.0
2023-03-10,805.23,806.88,792.5,794.33,27386940.0
2023-03-13,793.95,801.9,782.48,784.28,26443250.0
2023-03-14,785.13,791.8,779.65,782.18,33185612.0
2023-03-15,789.0,791.45,768.3,770.95,37261074.0
2023-03-16,769.5,779.55,766.03,775.95,21753262.0
2023-03-17,778.75,789.6,770.0,786.33,22950720.0
2023-03-20,783.98,784.05,772.7,780.88,26503000.0
2023-03-21,785.98,791.25,778.1,789.73,33049934.0
2023-03-22,792.0,793.03,782.65,787.9,14176424.0
2023-03-23,783.88,795.18,779.28,781.58,28363770.0
2023-03-24,780.0,786.95,777.48,780.33,31475458.0
2023-03-27,781.1,789.73,779.45,783.73,31871180.0
2023-03-28,782.85,791.45,782.05,790.1,39276158.0
2023-03-29,792.0,801.0,790.95,793.9,39758774.0
2023-03-31,797.8,806.48,796.2,804.6,34710186.0
2023-04-03,803.78,807.85,801.38,805.28,40024238.0
2023-04-05,809.3,828.0,808.0,826.88,43364746.0
2023-04-06,824.28,834.6,823.55,833.18,44635698.0
2023-04-10,831.63,835.5,827.0,829.23,31813168.0
2023-04-11,829.5,834.7,825.55,831.65,42361214.0
