ts,Open,High,Low,Close,Volume
2022-10-06,402.0,413.95,399.4,412.65,11757783.0
2022-10-07,409.95,411.95,405.8,411.1,5241141.0
2022-10-10,403.5,409.15,400.0,407.5,6519516.0
2022-10-11,403.0,412.45,393.9,396.05,7054291.0
2022-10-12,398.05,401.4,391.75,400.2,6584165.0
2022-10-13,411.0,416.5,400.0,401.55,16563626.0
2022-10-14,411.25,411.25,396.4,397.15,6115863.0
2022-10-17,395.05,395.9,386.3,388.3,8964609.0
2022-10-18,391.5,398.4,391.35,393.45,7081181.0
2022-10-19,394.0,398.1,389.5,390.3,6208484.0
2022-10-20,383.0,396.7,380.1,395.2,8221466.0
2022-10-21,397.2,398.05,386.25,393.75,7988296.0
2022-10-24,395.0,398.85,394.35,395.55,792434.0
2022-10-25,394.4,402.8,391.5,398.4,6156461.0
2022-10-27,408.0,413.4,398.4,412.4,9751313.0
2022-10-28,412.5,412.5,399.75,404.95,6569172.0
2022-10-31,405.0,408.75,403.0,405.65,4257701.0
2022-11-01,406.0,415.0,406.0,414.4,7483109.0
2022-11-02,414.75,426.85,414.0,421.3,11554741.0
2022-11-03,415.0,415.9,408.95,410.35,7303843.0
2022-11-04,412.45,432.0,412.0,430.55,13314215.0
2022-11-07,432.0,438.9,426.3,437.5,9887787.0
2022-11-09,430.1,433.0,415.6,417.1,13897096.0
2022-11-10,415.3,420.4,412.75,415.1,5573215.0
2022-11-11,420.35,431.8,420.3,429.85,14060215.0
2022-11-14,435.0,458.65,434.05,455.55,30134326.0
2022-11-15,456.0,460.55,449.55,456.9,11841116.0
2022-11-16,455.55,455.55,444.15,447.4,7136883.0
2022-11-17,443.45,444.4,436.5,440.45,6533610.0
2022-11-18,440.5,443.9,434.45,438.6,6128560.0
2022-11-21,439.8,444.45,428.4,430.55,6372184.0
2022-11-22,432.75,436.35,429.0,430.65,6107970.0
2022-11-23,434.5,439.3,431.55,433.35,6031027.0
2022-11-24,435.55,439.6,432.65,438.35,4732442.0
2022-11-25,438.0,441.8,434.35,440.65,4799479.0
2022-11-28,435.0,436.5,429.0,431.15,5613201.0
2022-11-29,433.0,440.9,432.25,435.95,6518412.0
2022-11-30,438.75,451.95,438.15,450.7,13921394.0
2022-12-01,455.0,466.5,454.05,463.4,13242911.0
2022-12-02,463.3,470.4,458.0,461.1,6620679.0
2022-12-05,466.15,483.85,466.15,481.2,14599240.0
2022-12-06,477.5,477.5,467.2,470.0,7409338.0
2022-12-07,470.0,472.1,463.1,464.3,5510177.0
2022-12-08,465.05,472.95,461.3,471.65,4901662.0
2022-12-09,474.0,476.0,461.9,462.85,5405737.0
2022-12-12,459.0,466.95,454.45,461.95,4809372.0
2022-12-13,464.3,466.0,457.3,458.1,4358161.0
2022-12-14,461.65,470.95,461.05,469.3,6639699.0
2022-12-15,467.0,470.65,459.0,461.0,3986786.0
2022-12-16,458.0,462.75,452.55,456.75,6458263.0
2022-12-19,459.0,463.0,455.05,460.15,3689495.0
2022-12-20,458.0,459.25,444.25,457.05,7580381.0
2022-12-21,459.3,463.9,451.9,457.15,5556931.0
2022-12-22,459.45,463.0,447.2,455.5,4434495.0
2022-12-23,452.9,452.9,427.6,429.55,7765897.0
2022-12-26,431.0,445.4,429.1,442.95,3939123.0
2022-12-27,447.95,472.4,446.75,471.0,13898032.0
2022-12-28,467.65,473.7,463.95,465.95,7519133.0
2022-12-29,459.3,472.2,455.25,469.9,8427104.0
2022-12-30,473.95,482.3,471.8,473.35,8024424.0
2023-01-02,475.95,491.0,475.15,487.05,11255811.0
2023-01-03,486.5,488.45,478.5,479.9,5906501.0
2023-01-04,477.0,477.45,460.0,461.5,9899885.0
2023-01-05,463.25,467.45,458.65,465.7,7087634.0
2023-01-06,467.0,474.0,461.1,462.65,6004013.0
2023-01-09,471.0,474.0,466.2,470.75,6047398.0
2023-01-10,478.0,480.5,473.3,477.55,7092319.0
2023-01-11,481.9,493.45,481.0,490.95,11383752.0
2023-01-12,495.0,495.6,482.2,485.65,7278634.0
2023-01-13,487.65,490.0,482.65,488.5,7445162.0
2023-01-16,490.95,492.7,481.25,483.05,3294109.0
2023-01-17,481.75,489.3,476.95,487.9,7819426.0
2023-01-18,488.5,504.0,488.5,502.95,12045667.0
2023-01-19,493.15,503.0,491.0,498.9,7945795.0
2023-01-20,498.0,501.55,488.25,489.95,5664588.0
2023-01-23,494.0,500.35,491.2,494.2,5559031.0
2023-01-24,496.7,497.9,483.55,484.65,3293586.0
2023-01-25,484.1,495.8,484.1,489.1,7341066.0
2023-01-27,493.5,494.8,467.95,479.0,4591590.0
2023-01-30,479.0,483.35,463.95,472.35,5804476.0
2023-01-31,474.95,476.35,465.5,468.4,5679604.0
2023-02-01,473.0,480.6,454.6,467.85,6075062.0
2023-02-02,467.0,471.0,460.8,465.4,3356544.0
2023-02-03,467.75,468.95,450.2,459.65,5707642.0
2023-02-06,457.0,457.0,446.0,447.35,4397546.0
2023-02-07,440.0,441.9,425.5,429.55,16652967.0
2023-02-08,432.0,439.8,432.0,436.5,6121515.0
2023-02-09,437.0,447.7,431.75,444.55,11431814.0
2023-02-10,444.55,444.95,431.0,433.15,6648361.0
2023-02-13,434.5,439.8,426.55,427.7,6437475.0
2023-02-14,429.5,435.25,425.35,434.8,3951666.0
2023-02-15,435.5,437.25,430.6,433.95,3623450.0
2023-02-16,436.9,438.0,433.0,434.7,4282249.0
2023-02-17,434.75,438.0,426.6,429.5,4014137.0
2023-02-20,429.9,435.55,429.0,434.25,3749802.0
2023-02-21,437.75,438.3,430.0,431.5,3761409.0
2023-02-22,430.5,434.5,426.75,429.7,5276939.0
2023-02-23,430.4,438.5,430.1,436.45,5037774.0
2023-02-24,438.0,438.0,414.25,415.25,10814032.0
2023-02-27,415.0,415.0,401.5,411.8,8301373.0
2023-02-28,413.5,413.9,398.0,399.2,12174759.0
2023-03-01,402.0,414.9,401.65,413.05,7935816.0
2023-03-02,415.0,416.8,408.0,410.8,4804013.0
2023-03-03,413.2,419.35,412.2,416.9,5101880.0
2023-03-06,419.0,422.2,413.9,414.55,5069374.0
2023-03-08,409.95,409.95,396.1,407.75,7044653.0
2023-03-09,411.0,418.5,408.0,408.85,6981354.0
2023-03-10,403.0,409.5,395.4,405.65,5238878.0
2023-03-13,409.0,414.95,398.5,402.25,5961785.0
2023-03-14,404.3,407.95,399.45,402.7,5841169.0
2023-03-15,407.95,412.75,405.0,406.15,5681261.0
2023-03-16,400.6,400.85,383.1,384.95,16738605.0
2023-03-17,389.25,398.05,386.55,396.7,9860073.0
2023-03-20,393.75,394.05,381.0,385.75,6330249.0
2023-03-21,387.7,390.6,384.95,388.55,6079681.0
2023-03-22,390.1,396.75,388.25,392.75,6511494.0
2023-03-23,387.0,400.65,386.0,398.8,10453779.0
2023-03-24,400.8,401.0,386.15,388.4,8828983.0
2023-03-27,390.0,396.6,389.4,389.95,7065314.0
2023-03-28,393.0,399.8,391.75,392.9,6424207.0
2023-03-29,394.9,400.9,389.9,399.05,6950893.0
2023-03-31,404.05,410.3,401.1,403.2,7466787.0
2023-04-03,406.5,406.9,399.55,402.55,5199785.0
2023-04-05,402.0,404.6,394.3,403.3,5607392.0
2023-04-06,401.0,406.5,398.75,405.25,4174331.0
2023-04-10,406.8,413.85,405.5,411.45,5326959.0
2023-04-11,412.9,418.05,411.15,417.55,4964770.0
2023-04-12,419.9,422.4,415.6,417.65,4701452.0
2023-04-13,418.05,422.75,415.35,422.05,6367940.0
2023-04-17,422.35,429.15,421.6,428.5,6920211.0
2023-04-18,430.0,433.0,427.9,431.55,4865940.0
2023-04-19,434.4,437.35,431.3,433.05,5982274.0
2023-04-20,431.9,435.7,428.05,429.85,3829868.0
2023-04-21,429.95,430.85,419.0,422.35,5139345.0
2023-04-24,419.0,428.95,418.35,427.8,2308450.0
2023-04-25,425.0,431.7,425.0,429.8,3648124.0
2023-04-26,425.6,427.0,422.1,424.8,5184973.0
2023-04-27,425.0,431.45,422.05,430.8,3271257.0
2023-04-28,433.5,437.0,430.9,436.1,4913550.0
2023-05-02,439.0,449.9,438.0,446.15,5178547.0
2023-05-03,441.0,443.9,434.25,442.3,4826725.0
2023-05-04,445.0,446.45,440.5,445.5,3100187.0
2023-05-05,443.0,443.5,432.65,434.25,3034975.0
2023-05-08,438.25,446.9,436.2,445.05,4090222.0
2023-05-09,444.55,446.7,439.2,440.35,2941853.0
2023-05-10,441.0,442.85,433.65,436.45,3075586.0
2023-05-11,434.0,434.0,419.55,420.85,11079706.0
2023-05-12,419.0,419.0,403.8,404.75,11152831.0
2023-05-15,408.5,412.85,404.35,410.7,5148782.0
2023-05-16,413.6,417.7,411.0,412.45,4010692.0
2023-05-17,411.8,413.4,405.55,407.7,3727878.0
2023-05-18,411.0,413.4,405.65,406.5,4078918.0
2023-05-19,408.0,408.4,400.4,406.75,5523050.0
2023-05-22,406.0,409.0,402.7,407.7,4237198.0
2023-05-23,409.2,413.8,406.9,410.3,3690613.0
2023-05-24,408.9,410.5,403.6,406.9,7866105.0
2023-05-25,404.5,405.75,397.8,404.25,8018242.0
2023-05-26,405.1,415.3,403.1,413.55,6401093.0
2023-05-29,417.1,425.0,415.5,419.9,8350721.0
2023-05-30,421.5,421.5,411.6,413.1,5596603.0
2023-05-31,410.5,410.7,404.35,405.9,22945527.0
2023-06-01,409.05,414.4,405.9,406.35,4269628.0
2023-06-02,412.05,421.9,412.05,420.75,11695034.0
2023-06-05,424.85,426.0,418.4,419.7,8039709.0
2023-06-06,419.7,422.0,413.8,415.55,4383684.0
2023-06-07,418.0,423.7,413.85,422.6,6911473.0
2023-06-08,423.95,425.7,417.7,418.25,5570967.0
2023-06-09,421.85,421.85,414.5,415.05,3518826.0
2023-06-12,417.95,421.0,414.0,416.8,2813911.0
2023-06-13,419.0,424.0,416.9,421.4,4247391.0
2023-06-14,427.0,430.0,424.15,425.05,7205023.0
2023-06-15,424.9,425.65,420.75,423.05,4863359.0
2023-06-16,427.7,431.45,425.8,426.95,7909463.0
2023-06-19,424.25,432.0,423.25,426.5,3887879.0
2023-06-20,426.15,433.25,423.15,429.0,5085774.0
2023-06-21,428.95,429.65,418.1,421.45,5679825.0
2023-06-22,421.9,425.3,416.25,420.8,3555164.0
2023-06-23,416.0,416.85,407.45,407.75,5369119.0
2023-06-26,410.0,416.0,408.3,415.85,4448807.0
2023-06-27,416.0,419.3,414.0,417.15,3027831.0
2023-06-28,419.75,421.3,418.5,420.25,4580323.0
2023-06-30,419.85,422.65,415.25,420.7,4082708.0
2023-07-03,424.0,428.75,422.4,426.0,3671014.0
2023-07-04,427.95,428.75,423.15,425.8,2690769.0
2023-07-05,425.0,427.4,419.35,422.25,4768914.0
2023-07-06,418.95,427.8,417.35,427.3,4997858.0
2023-07-07,423.9,425.0,418.5,422.15,6747799.0
2023-07-10,423.0,436.2,423.0,428.1,6490014.0
2023-07-11,429.25,430.6,424.05,424.3,3023204.0
2023-07-12,425.5,426.95,422.25,424.45,2843888.0
2023-07-13,430.2,439.5,430.2,436.0,11479314.0
2023-07-14,441.0,448.3,440.35,447.2,10678826.0
2023-07-17,447.8,454.15,443.95,446.0,8387920.0
2023-07-18,447.0,448.75,442.2,445.0,3951503.0
2023-07-19,444.0,444.35,438.5,439.8,5049061.0
2023-07-20,442.0,442.9,438.3,441.8,5137527.0
2023-07-21,441.45,441.45,433.75,434.2,4267707.0
2023-07-24,434.0,437.55,431.5,433.2,3382303.0
2023-07-25,436.15,450.45,435.0,450.15,8461591.0
2023-07-26,449.5,451.65,446.45,449.0,4174917.0
2023-07-27,451.0,459.45,448.15,452.7,5596067.0
2023-07-28,450.5,452.65,443.5,451.05,3874590.0
2023-07-31,453.05,463.2,453.0,461.55,4955748.0
2023-08-01,465.0,471.5,462.1,463.9,6221012.0
2023-08-02,460.0,461.2,450.0,453.15,5957140.0
2023-08-03,450.0,458.5,445.15,457.2,4012767.0
2023-08-04,464.0,466.0,453.9,457.1,7510647.0
2023-08-07,459.2,467.35,459.2,464.15,3758909.0
2023-08-08,464.85,467.25,452.0,455.25,6430764.0
2023-08-09,454.75,469.8,451.0,468.25,6122719.0
2023-08-10,468.0,471.0,463.0,468.9,4248092.0
2023-08-11,467.0,467.4,460.05,461.9,4400879.0
2023-08-14,458.6,458.6,447.6,449.85,4533577.0
2023-08-16,447.0,447.0,439.1,444.0,5035504.0
2023-08-17,443.0,449.2,440.5,446.1,3548302.0
2023-08-18,447.5,447.5,438.2,439.2,3979351.0
2023-08-21,443.0,450.85,439.9,448.7,3768390.0
2023-08-22,449.75,454.35,448.8,451.0,3236948.0
2023-08-23,454.7,465.3,454.7,460.9,9140473.0
2023-08-24,464.0,465.9,453.95,456.5,5940299.0
2023-08-25,453.0,454.3,449.0,449.85,3274122.0
2023-08-28,450.55,452.45,445.5,446.1,4236364.0
2023-08-29,448.0,458.45,447.8,457.4,6038578.0
2023-08-30,460.2,465.1,455.8,456.65,5471820.0
2023-08-31,462.25,465.0,457.0,461.9,9237908.0
2023-09-01,462.95,478.5,462.1,473.25,11151562.0
2023-09-04,477.6,492.3,475.0,486.65,10359653.0
2023-09-05,486.0,489.75,478.2,486.1,4941534.0
2023-09-06,484.9,484.9,474.25,478.15,5138246.0
2023-09-07,475.55,479.5,473.55,475.1,4055611.0
2023-09-08,473.0,478.8,467.7,476.15,5637990.0
2023-09-11,478.0,487.8,476.45,484.85,5960678.0
2023-09-12,490.0,490.9,475.4,477.75,6817270.0
2023-09-13,478.5,484.8,473.85,483.2,4162140.0
