ts,Open,High,Low,Close,Volume
2022-10-06,2681.3,2692.3,2605.05,2614.0,1752195.0
2022-10-07,2611.9,2613.0,2575.0,2599.7,1025727.0
2022-10-10,2570.0,2610.7,2542.0,2605.6,1043688.0
2022-10-11,2610.0,2610.55,2545.0,2550.65,1129660.0
2022-10-12,2563.45,2604.6,2554.2,2591.35,882868.0
2022-10-13,2583.0,2607.15,2562.9,2566.4,753325.0
2022-10-14,2590.0,2624.9,2570.2,2575.8,1001535.0
2022-10-17,2573.6,2609.95,2568.0,2590.55,778862.0
2022-10-18,2620.0,2642.0,2597.0,2602.25,1123357.0
2022-10-19,2615.3,2617.5,2578.4,2583.0,1241945.0
2022-10-20,2568.15,2610.0,2568.15,2600.9,1428116.0
2022-10-21,2606.0,2666.75,2606.0,2653.9,2458125.0
2022-10-24,2610.1,2640.0,2550.0,2573.1,719435.0
2022-10-25,2586.0,2586.0,2500.0,2505.4,2923621.0
2022-10-27,2494.0,2530.0,2488.0,2519.0,1846263.0
2022-10-28,2526.1,2550.9,2512.0,2524.25,1164883.0
2022-10-31,2545.0,2572.0,2542.05,2550.7,1324386.0
2022-11-01,2569.0,2575.85,2547.6,2551.8,1280114.0
2022-11-02,2564.0,2564.0,2501.4,2518.3,1338240.0
2022-11-03,2515.7,2549.0,2508.3,2546.35,730426.0
2022-11-04,2544.95,2546.0,2515.25,2520.35,888939.0
2022-11-07,2531.1,2552.0,2517.0,2532.8,1283567.0
2022-11-09,2510.0,2544.9,2492.65,2508.8,1436244.0
2022-11-10,2504.0,2538.0,2501.05,2513.6,1459124.0
2022-11-11,2545.0,2546.8,2495.0,2503.05,1162811.0
2022-11-14,2506.8,2513.75,2455.15,2457.8,2136989.0
2022-11-15,2457.8,2469.0,2444.15,2457.5,1558253.0
2022-11-16,2463.55,2483.0,2428.1,2477.85,1330361.0
2022-11-17,2479.95,2498.0,2454.25,2460.0,960337.0
2022-11-18,2470.0,2488.55,2448.85,2483.7,1075502.0
2022-11-21,2483.7,2512.0,2470.05,2501.4,1354872.0
2022-11-22,2505.9,2524.0,2497.0,2515.7,921198.0
2022-11-23,2521.0,2525.0,2502.0,2507.35,734146.0
2022-11-24,2517.0,2560.0,2511.15,2549.15,999766.0
2022-11-25,2555.0,2555.4,2518.2,2537.45,783453.0
2022-11-28,2527.0,2542.5,2521.8,2525.2,830905.0
2022-11-29,2527.2,2639.95,2527.2,2634.2,2542877.0
2022-11-30,2634.0,2698.0,2623.0,2684.35,3698270.0
2022-12-01,2680.0,2683.0,2646.85,2662.85,1675351.0
2022-12-02,2660.0,2660.0,2607.15,2615.1,2101492.0
2022-12-05,2600.0,2625.0,2585.15,2619.85,1640487.0
2022-12-06,2606.8,2659.95,2603.85,2654.55,1484562.0
2022-12-07,2660.05,2719.8,2656.25,2707.35,2368446.0
2022-12-08,2695.05,2711.05,2685.75,2705.45,1314696.0
2022-12-09,2724.7,2741.6,2711.25,2722.25,1883393.0
2022-12-12,2702.2,2724.0,2688.65,2717.25,1163152.0
2022-12-13,2717.0,2720.0,2697.8,2710.3,1265799.0
2022-12-14,2720.0,2720.0,2671.35,2684.65,886858.0
2022-12-15,2670.0,2683.25,2648.45,2663.25,990671.0
2022-12-16,2668.0,2687.7,2653.3,2671.3,1793821.0
2022-12-19,2671.3,2720.0,2671.3,2718.1,1546814.0
2022-12-20,2706.0,2706.05,2653.25,2674.55,827524.0
2022-12-21,2687.95,2695.15,2650.1,2666.2,779054.0
2022-12-22,2676.5,2688.5,2642.0,2645.35,852554.0
2022-12-23,2632.0,2649.55,2608.05,2621.1,1189591.0
2022-12-26,2620.95,2637.85,2606.75,2617.45,605143.0
2022-12-27,2625.0,2634.9,2575.25,2593.25,870938.0
2022-12-28,2593.0,2603.1,2578.1,2583.6,822651.0
2022-12-29,2580.25,2583.3,2539.4,2568.05,1345863.0
2022-12-30,2579.95,2586.45,2555.2,2561.05,696432.0
2023-01-02,2573.9,2580.05,2538.05,2558.4,681703.0
2023-01-03,2550.05,2562.0,2535.0,2542.05,821843.0
2023-01-04,2550.5,2558.4,2527.05,2536.1,1672649.0
2023-01-05,2537.55,2591.95,2537.5,2583.7,2008493.0
2023-01-06,2580.0,2611.9,2574.9,2576.45,991782.0
2023-01-09,2589.35,2629.45,2570.0,2624.05,1267078.0
2023-01-10,2624.05,2653.35,2615.1,2643.85,1413088.0
2023-01-11,2644.0,2647.85,2588.1,2593.25,1471687.0
2023-01-12,2586.1,2602.6,2572.75,2590.05,1703829.0
2023-01-13,2590.2,2639.25,2566.65,2624.0,1348015.0
2023-01-16,2627.95,2627.95,2584.0,2597.1,930068.0
2023-01-17,2605.45,2675.0,2601.8,2667.55,1892865.0
2023-01-18,2668.0,2693.5,2660.0,2686.2,2038075.0
2023-01-19,2670.1,2679.3,2611.9,2649.75,1649842.0
2023-01-20,2550.0,2605.0,2536.05,2548.75,4569549.0
2023-01-23,2560.0,2604.0,2552.0,2596.4,1388360.0
2023-01-24,2604.0,2610.0,2580.8,2600.5,1462462.0
2023-01-25,2600.5,2642.0,2594.0,2622.35,1591810.0
2023-01-27,2635.5,2646.55,2578.2,2612.15,1581382.0
2023-01-30,2610.0,2610.0,2530.2,2568.15,2744039.0
2023-01-31,2568.0,2590.2,2541.2,2576.75,2366794.0
2023-02-01,2600.2,2603.0,2546.85,2574.25,2014615.0
2023-02-02,2569.5,2639.75,2563.0,2634.85,1980667.0
2023-02-03,2640.0,2657.45,2631.15,2648.75,1638238.0
2023-02-06,2631.0,2645.0,2599.75,2637.6,1697427.0
2023-02-07,2645.0,2645.55,2595.3,2601.2,1495745.0
2023-02-08,2592.7,2607.5,2578.35,2582.8,1061956.0
2023-02-09,2587.0,2599.9,2566.0,2586.7,1102484.0
2023-02-10,2585.0,2586.65,2555.35,2577.5,1523011.0
2023-02-13,2560.0,2590.75,2550.0,2581.0,1146525.0
2023-02-14,2585.0,2602.0,2570.2,2579.6,1944364.0
2023-02-15,2550.0,2571.8,2537.0,2548.45,2009134.0
2023-02-16,2560.0,2561.9,2522.85,2527.1,1982857.0
2023-02-17,2525.0,2546.25,2506.9,2515.5,1395341.0
2023-02-20,2518.0,2543.0,2508.2,2511.45,632091.0
2023-02-21,2528.0,2543.95,2512.3,2516.15,862797.0
2023-02-22,2516.15,2523.55,2482.75,2494.05,885515.0
2023-02-23,2492.0,2515.9,2480.1,2490.65,757215.0
2023-02-24,2492.2,2511.25,2471.95,2484.2,732783.0
2023-02-27,2487.0,2487.0,2456.0,2468.15,853991.0
2023-02-28,2469.75,2474.35,2435.65,2460.65,1780454.0
2023-03-01,2458.0,2470.0,2448.0,2466.25,967339.0
2023-03-02,2466.25,2470.0,2444.0,2455.35,827174.0
2023-03-03,2466.0,2489.9,2455.65,2471.0,1175943.0
2023-03-06,2481.95,2498.85,2475.6,2484.0,1205543.0
2023-03-08,2487.0,2501.4,2467.2,2485.1,1448104.0
2023-03-09,2484.85,2491.95,2456.9,2461.4,1038897.0
2023-03-10,2450.0,2470.5,2445.1,2465.45,772003.0
2023-03-13,2466.0,2488.5,2445.0,2455.1,1314532.0
2023-03-14,2462.0,2472.0,2439.75,2442.45,1250700.0
2023-03-15,2451.9,2459.5,2393.0,2406.1,1737995.0
2023-03-16,2424.95,2469.3,2407.75,2459.35,1628034.0
2023-03-17,2471.65,2483.2,2439.8,2447.4,2127072.0
2023-03-20,2447.4,2516.65,2425.0,2511.2,1561114.0
2023-03-21,2515.0,2523.25,2458.75,2462.6,1595161.0
2023-03-22,2472.6,2481.4,2454.4,2476.35,1063242.0
2023-03-23,2475.0,2500.05,2466.0,2485.1,1578592.0
2023-03-24,2472.2,2497.9,2470.0,2480.8,1449216.0
2023-03-27,2485.0,2505.0,2464.0,2499.0,1387724.0
2023-03-28,2509.8,2513.5,2471.9,2482.8,1412381.0
2023-03-29,2485.0,2539.8,2480.05,2530.85,2612648.0
2023-03-31,2558.8,2568.45,2516.55,2560.0,2146104.0
2023-04-03,2570.0,2570.0,2515.05,2536.1,918011.0
2023-04-05,2512.5,2588.55,2502.0,2582.75,1489572.0
2023-04-06,2575.0,2585.0,2553.0,2565.25,797399.0
2023-04-10,2565.25,2568.95,2525.0,2532.15,853260.0
2023-04-11,2540.0,2555.0,2533.0,2547.75,912993.0
2023-04-12,2556.0,2556.0,2518.65,2528.95,1109804.0
2023-04-13,2525.0,2562.35,2525.0,2536.2,1261553.0
2023-04-17,2573.0,2579.0,2541.4,2555.5,1566816.0
2023-04-18,2560.0,2560.0,2530.0,2541.05,1474558.0
2023-04-19,2548.0,2548.0,2510.25,2531.6,1320220.0
2023-04-20,2517.8,2532.4,2480.0,2492.6,1401213.0
2023-04-21,2492.0,2509.5,2485.65,2497.95,1206287.0
2023-04-24,2502.0,2504.9,2475.1,2499.75,1735797.0
2023-04-25,2490.85,2499.75,2478.05,2490.45,1701034.0
2023-04-26,2490.0,2518.0,2482.2,2510.8,1245903.0
2023-04-27,2513.95,2522.0,2457.0,2468.95,2743893.0
2023-04-28,2436.05,2467.8,2419.0,2457.3,3761927.0
2023-05-02,2471.8,2478.0,2450.0,2451.7,1760370.0
2023-05-03,2456.95,2490.0,2452.65,2486.0,1258140.0
2023-05-04,2486.95,2509.35,2480.15,2506.75,1150227.0
2023-05-05,2500.0,2520.0,2494.7,2500.75,1354871.0
2023-05-08,2505.75,2526.85,2497.15,2516.3,972810.0
2023-05-09,2525.0,2525.0,2500.05,2515.8,1651168.0
2023-05-10,2521.0,2535.0,2505.85,2522.7,2025613.0
2023-05-11,2536.95,2599.0,2523.6,2592.4,1749300.0
2023-05-12,2594.0,2640.0,2586.4,2623.4,2170011.0
2023-05-15,2637.95,2670.75,2623.05,2662.25,1561055.0
2023-05-16,2670.0,2678.4,2650.6,2675.9,1477905.0
2023-05-17,2672.0,2674.0,2647.05,2661.75,839404.0
2023-05-18,2665.5,2669.2,2621.85,2627.55,1434067.0
2023-05-19,2628.65,2649.0,2600.65,2641.45,1174710.0
2023-05-22,2635.0,2655.45,2623.05,2638.1,768232.0
2023-05-23,2632.0,2649.8,2625.0,2628.3,703854.0
2023-05-24,2620.0,2638.0,2608.0,2614.95,628872.0
2023-05-25,2610.0,2626.15,2580.55,2597.25,1072231.0
2023-05-26,2603.75,2656.7,2603.1,2652.35,946906.0
2023-05-29,2665.05,2679.55,2645.05,2650.3,698261.0
2023-05-30,2655.5,2665.0,2650.85,2656.55,948051.0
2023-05-31,2656.55,2680.0,2638.0,2667.55,3388305.0
2023-06-01,2667.0,2731.25,2654.5,2697.9,1541080.0
2023-06-02,2710.0,2738.2,2691.65,2716.7,1509245.0
2023-06-05,2716.45,2722.0,2684.15,2695.8,1000190.0
2023-06-06,2700.0,2707.9,2670.15,2691.15,655372.0
2023-06-07,2690.0,2727.0,2679.35,2716.2,1428490.0
2023-06-08,2707.0,2721.55,2674.9,2679.9,923490.0
2023-06-09,2688.95,2688.95,2620.1,2636.2,1413808.0
2023-06-12,2645.0,2657.0,2633.0,2643.45,775484.0
2023-06-13,2629.6,2697.0,2627.5,2675.9,1787924.0
2023-06-14,2671.0,2702.1,2652.0,2698.75,1536143.0
