ts,Open,High,Low,Close,Volume
2022-10-06,293.51,297.28,291.37,294.96,25377819.0
2022-10-07,295.09,295.14,290.27,292.73,11991016.0
2022-10-10,289.13,290.4,285.67,287.25,10716045.0
2022-10-11,288.26,289.53,284.84,285.89,16453838.0
2022-10-12,287.34,290.4,284.53,289.22,11798661.0
2022-10-13,289.09,290.27,287.38,287.95,8293809.0
2022-10-14,291.15,292.55,289.88,290.97,7333018.0
2022-10-17,290.1,293.3,288.78,291.1,7908422.0
2022-10-18,292.59,298.77,292.24,298.16,23839663.0
2022-10-19,300.61,304.42,297.72,303.46,18599382.0
2022-10-20,304.03,307.49,302.1,306.39,21085937.0
2022-10-21,309.46,309.46,301.84,302.8,31240965.0
2022-10-24,305.74,306.39,304.03,304.64,3618694.0
2022-10-25,306.17,306.22,301.09,303.42,22506284.0
2022-10-27,303.72,305.21,301.27,302.98,21181685.0
2022-10-28,304.51,305.43,302.36,302.98,14916374.0
2022-10-31,304.9,307.09,302.06,305.52,15780144.0
2022-11-01,306.0,307.09,304.2,306.22,22444696.0
2022-11-02,305.34,312.13,305.34,310.73,19153420.0
2022-11-03,310.16,314.1,309.29,309.9,17508327.0
2022-11-04,310.16,311.91,308.85,309.81,9572253.0
2022-11-07,311.04,312.22,306.66,309.72,11470821.0
2022-11-09,309.72,316.69,309.46,316.03,23524262.0
2022-11-10,314.54,315.33,310.25,311.91,22059408.0
2022-11-11,315.42,316.25,310.73,312.22,12498712.0
2022-11-14,312.22,312.75,303.68,304.2,25387840.0
2022-11-15,305.74,305.74,297.15,302.5,17635327.0
2022-11-16,302.89,303.9,299.34,301.49,8679810.0
2022-11-17,301.49,304.42,300.17,301.14,11406868.0
2022-11-18,301.14,302.06,297.72,298.82,8946168.0
2022-11-21,297.11,297.9,292.99,295.44,10498984.0
2022-11-22,295.27,298.77,294.13,298.11,7413973.0
2022-11-23,299.65,299.65,295.7,297.72,8866268.0
2022-11-24,297.72,300.09,295.75,298.55,9291492.0
2022-11-25,298.77,299.56,295.97,298.16,7913206.0
2022-11-28,297.9,299.43,296.8,297.94,11302400.0
2022-11-29,297.9,302.28,297.9,299.91,11630098.0
2022-11-30,298.99,301.53,297.02,297.9,25744658.0
2022-12-01,299.38,299.38,295.09,297.5,18980974.0
2022-12-02,297.33,298.6,295.05,295.4,9574520.0
2022-12-05,295.84,296.89,292.77,295.05,11089713.0
2022-12-06,292.73,296.32,292.73,295.53,7221754.0
2022-12-07,296.58,299.21,294.96,297.98,11200215.0
2022-12-08,298.07,299.78,295.7,296.49,7076823.0
2022-12-09,297.68,300.09,296.14,299.12,9281644.0
2022-12-12,298.77,301.4,297.98,300.7,12799752.0
2022-12-13,301.84,303.15,300.0,302.8,12204844.0
2022-12-14,303.15,304.34,301.18,302.63,8422956.0
2022-12-15,302.06,303.24,296.14,296.89,9307556.0
2022-12-16,295.7,296.93,290.27,293.6,14186045.0
2022-12-19,295.09,299.95,293.82,298.33,8917069.0
2022-12-20,297.94,298.73,295.05,298.03,6257079.0
2022-12-21,298.77,298.99,293.08,293.65,8040975.0
2022-12-22,294.08,295.62,289.05,291.28,7515096.0
2022-12-23,289.92,290.8,285.06,286.24,11497735.0
