ts,Open,High,Low,Close,Volume
2022-10-06,1268.0,1277.0,1254.5,1256.9,3531440.0
2022-10-07,1260.0,1261.95,1232.95,1238.85,3501351.0
2022-10-10,1234.0,1246.55,1218.0,1243.0,2230589.0
2022-10-11,1249.25,1249.25,1225.5,1229.55,1569301.0
2022-10-12,1235.65,1259.35,1230.1,1247.9,2884743.0
2022-10-13,1255.0,1274.15,1240.5,1248.2,2137339.0
2022-10-14,1267.75,1272.0,1228.0,1230.3,1696593.0
2022-10-17,1227.0,1238.75,1196.5,1230.0,2158622.0
2022-10-18,1236.15,1267.35,1233.5,1253.8,2722206.0
2022-10-19,1259.95,1264.8,1244.0,1248.4,1449539.0
2022-10-20,1241.2,1254.0,1223.55,1250.0,1831311.0
2022-10-21,1253.1,1268.9,1244.15,1256.75,1750864.0
2022-10-24,1261.0,1278.0,1261.0,1270.95,318815.0
2022-10-25,1270.95,1283.85,1259.6,1281.4,2809258.0
2022-10-27,1283.3,1299.85,1279.05,1294.15,3279791.0
2022-10-28,1300.65,1315.9,1290.0,1311.65,2110567.0
2022-10-31,1318.25,1358.5,1316.6,1348.6,4306770.0
2022-11-01,1361.0,1366.55,1349.35,1354.05,3405465.0
2022-11-02,1354.05,1361.0,1338.6,1352.35,2298885.0
2022-11-03,1340.0,1355.0,1328.55,1335.4,1931916.0
2022-11-04,1338.0,1352.0,1331.0,1338.3,2204881.0
2022-11-07,1345.0,1355.6,1336.6,1351.3,2599165.0
2022-11-09,1364.85,1364.85,1331.0,1337.55,2459834.0
2022-11-10,1339.0,1339.0,1290.6,1298.2,2792494.0
2022-11-11,1305.1,1318.75,1278.55,1287.1,5308473.0
2022-11-14,1304.0,1309.7,1268.05,1278.15,3794264.0
2022-11-15,1284.55,1296.3,1275.25,1291.7,3192031.0
2022-11-16,1288.95,1295.0,1276.0,1286.7,2477852.0
2022-11-17,1280.2,1285.0,1254.15,1259.35,2319933.0
2022-11-18,1250.05,1255.95,1217.25,1227.15,4525104.0
2022-11-21,1218.0,1234.9,1202.0,1218.25,4120736.0
2022-11-22,1220.65,1235.45,1215.95,1228.45,2469455.0
2022-11-23,1234.6,1240.35,1224.0,1235.7,2396265.0
2022-11-24,1241.9,1257.0,1238.65,1254.05,2133518.0
2022-11-25,1258.0,1267.7,1246.0,1260.8,1370291.0
2022-11-28,1258.9,1272.0,1246.0,1250.7,2126619.0
2022-11-29,1256.0,1265.0,1248.55,1257.1,2435634.0
2022-11-30,1262.1,1316.0,1257.65,1305.6,7536690.0
2022-12-01,1315.0,1316.95,1288.0,1293.45,2613706.0
2022-12-02,1286.45,1293.8,1260.0,1264.6,2891560.0
2022-12-05,1269.45,1269.45,1252.6,1259.8,2764796.0
2022-12-06,1248.5,1265.45,1248.5,1263.05,1686075.0
2022-12-07,1262.0,1268.9,1252.4,1266.6,1731872.0
2022-12-08,1272.95,1282.0,1269.5,1274.35,1906386.0
2022-12-09,1281.5,1284.65,1256.5,1265.4,1308223.0
2022-12-12,1263.9,1277.3,1256.5,1264.0,1723377.0
2022-12-13,1268.0,1285.95,1267.0,1283.35,2164486.0
2022-12-14,1287.0,1291.0,1276.45,1286.45,1436837.0
2022-12-15,1285.9,1293.5,1281.75,1286.95,2417514.0
2022-12-16,1277.95,1287.0,1250.0,1251.6,2136248.0
2022-12-19,1250.9,1294.9,1245.05,1290.65,2767593.0
2022-12-20,1287.95,1288.0,1263.1,1275.25,1286578.0
2022-12-21,1279.9,1284.5,1258.5,1265.7,1251914.0
2022-12-22,1265.7,1277.65,1229.3,1233.95,1557564.0
2022-12-23,1220.0,1230.0,1208.0,1224.6,1913628.0
2022-12-26,1224.6,1247.4,1216.3,1237.05,1677529.0
2022-12-27,1243.25,1248.5,1223.95,1234.25,1304915.0
2022-12-28,1229.85,1255.0,1225.0,1252.35,1959508.0
2022-12-29,1247.7,1267.6,1238.55,1262.35,1289676.0
2022-12-30,1265.35,1265.35,1245.0,1249.2,1372710.0
2023-01-02,1251.0,1271.0,1242.6,1262.85,1718385.0
2023-01-03,1263.0,1265.0,1246.7,1249.3,1510751.0
2023-01-04,1252.35,1255.8,1231.0,1236.2,1344532.0
2023-01-05,1240.0,1255.0,1231.0,1252.65,2745160.0
2023-01-06,1252.65,1274.95,1248.15,1264.9,2214972.0
2023-01-09,1272.95,1313.9,1271.65,1310.35,3634805.0
2023-01-10,1310.5,1326.4,1305.75,1314.9,3139930.0
2023-01-11,1315.5,1320.0,1300.5,1312.6,2041750.0
2023-01-12,1316.0,1327.0,1310.0,1319.9,2448619.0
2023-01-13,1325.0,1337.0,1311.6,1328.15,2600139.0
2023-01-16,1333.0,1335.25,1302.95,1315.6,1651972.0
2023-01-17,1318.95,1323.85,1304.1,1320.85,1607137.0
2023-01-18,1320.35,1325.0,1308.1,1322.15,1179938.0
2023-01-19,1317.6,1328.7,1312.3,1319.55,2066881.0
2023-01-20,1324.05,1325.0,1311.65,1314.75,1332666.0
2023-01-23,1321.35,1345.95,1312.3,1328.45,1681075.0
2023-01-24,1335.1,1335.1,1321.05,1323.9,1408040.0
2023-01-25,1324.9,1332.0,1306.05,1311.5,1359090.0
2023-01-27,1318.1,1339.8,1286.65,1320.2,1914769.0
2023-01-30,1320.1,1342.0,1305.0,1331.6,2402331.0
2023-01-31,1350.3,1385.5,1335.3,1378.75,5265862.0
2023-02-01,1386.55,1390.0,1322.0,1352.05,3010838.0
2023-02-02,1348.05,1378.2,1330.5,1352.4,2029111.0
2023-02-03,1359.2,1391.95,1350.55,1388.0,1803085.0
2023-02-06,1391.9,1391.9,1360.0,1376.0,1504134.0
2023-02-07,1382.9,1385.0,1361.0,1366.7,1413825.0
2023-02-08,1373.55,1380.0,1360.0,1373.05,1241238.0
2023-02-09,1372.0,1386.0,1363.0,1372.2,1866387.0
2023-02-10,1378.55,1386.95,1350.8,1365.45,3282665.0
2023-02-13,1375.0,1384.0,1325.05,1353.0,4401219.0
2023-02-14,1358.0,1377.0,1350.0,1363.15,2373179.0
2023-02-15,1364.2,1383.15,1360.05,1379.35,2007214.0
2023-02-16,1380.1,1397.0,1363.2,1368.15,2646301.0
2023-02-17,1359.95,1372.55,1332.3,1341.5,2150027.0
2023-02-20,1342.1,1354.95,1332.6,1346.25,1497314.0
2023-02-21,1354.5,1362.4,1341.0,1351.85,2118816.0
2023-02-22,1346.9,1352.85,1311.15,1319.75,2196484.0
2023-02-23,1325.25,1326.25,1305.0,1313.95,1847879.0
2023-02-24,1320.2,1320.55,1278.2,1280.2,2824384.0
2023-02-27,1270.05,1285.4,1248.4,1257.4,2019964.0
2023-02-28,1263.7,1293.25,1260.0,1269.6,3407211.0
2023-03-01,1275.95,1305.55,1269.05,1272.15,2338935.0
2023-03-02,1278.55,1278.55,1250.0,1251.55,1563750.0
2023-03-03,1257.9,1276.95,1253.25,1268.6,1493090.0
2023-03-06,1269.55,1284.25,1268.0,1274.1,1570331.0
2023-03-08,1270.0,1291.95,1258.3,1289.95,2370645.0
2023-03-09,1291.0,1294.8,1244.95,1248.15,3596495.0
2023-03-10,1249.0,1256.7,1225.35,1226.7,2664685.0
2023-03-13,1222.7,1231.0,1182.45,1193.45,3842743.0
2023-03-14,1192.3,1192.4,1156.85,1160.8,5379558.0
2023-03-15,1167.0,1174.4,1153.2,1160.35,2226882.0
2023-03-16,1160.0,1175.25,1140.15,1167.05,3604480.0
2023-03-17,1172.9,1186.25,1152.0,1171.5,3683695.0
2023-03-20,1169.95,1179.15,1145.0,1167.65,2082252.0
2023-03-21,1170.6,1175.0,1156.4,1160.3,2209317.0
2023-03-22,1167.5,1180.5,1159.15,1164.1,2211639.0
2023-03-23,1161.0,1175.0,1153.8,1164.95,2594282.0
2023-03-24,1160.55,1170.55,1147.1,1150.8,1839604.0
2023-03-27,1141.5,1150.6,1125.5,1137.9,2446005.0
2023-03-28,1143.6,1149.0,1123.4,1128.3,1903334.0
2023-03-29,1133.95,1152.45,1132.0,1144.3,4002463.0
2023-03-31,1147.6,1163.0,1145.85,1158.0,2341127.0
2023-04-03,1161.3,1180.0,1155.3,1169.9,2546509.0
2023-04-05,1172.0,1173.3,1151.95,1155.45,2027615.0
2023-04-06,1154.0,1175.0,1148.3,1171.25,2029104.0
2023-04-10,1171.25,1191.0,1171.25,1188.6,2586858.0
2023-04-11,1200.0,1204.2,1188.2,1201.7,2443281.0
2023-04-12,1203.5,1212.95,1198.6,1207.35,2469383.0
2023-04-13,1213.45,1222.2,1199.55,1204.55,4470148.0
2023-04-17,1218.95,1218.95,1203.4,1214.0,1956111.0
2023-04-18,1213.0,1217.9,1202.6,1204.7,2075055.0
2023-04-19,1204.65,1217.95,1203.4,1215.5,1818688.0
2023-04-20,1218.0,1224.9,1214.55,1218.6,2172516.0
2023-04-21,1221.95,1221.95,1209.05,1212.75,1015814.0
2023-04-24,1210.4,1217.1,1196.0,1207.75,1389756.0
2023-04-25,1207.75,1215.0,1199.4,1209.85,1360258.0
2023-04-26,1212.0,1217.25,1205.3,1213.55,1708865.0
2023-04-27,1210.05,1225.0,1210.05,1224.0,1340045.0
2023-04-28,1225.0,1228.75,1211.5,1226.9,2333102.0
2023-05-02,1230.0,1240.8,1217.5,1237.3,2607580.0
2023-05-03,1237.3,1242.0,1230.1,1235.45,1307304.0
2023-05-04,1235.0,1238.05,1228.0,1231.7,1541188.0
2023-05-05,1232.8,1242.35,1208.05,1211.2,4753718.0
2023-05-08,1216.95,1239.85,1213.7,1231.8,3513667.0
2023-05-09,1239.0,1250.0,1234.05,1245.45,1846335.0
2023-05-10,1250.0,1255.8,1235.0,1248.65,2107803.0
2023-05-11,1250.0,1260.85,1244.15,1251.3,4100115.0
2023-05-12,1256.4,1278.8,1251.3,1275.95,2427624.0
2023-05-15,1279.9,1287.75,1272.6,1285.65,2647630.0
2023-05-16,1287.0,1291.7,1258.85,1262.45,1571371.0
2023-05-17,1265.0,1271.7,1260.7,1263.1,1643851.0
2023-05-18,1269.95,1269.95,1241.25,1245.5,1900447.0
2023-05-19,1252.9,1262.45,1237.45,1260.4,1588791.0
2023-05-22,1259.25,1269.45,1251.3,1265.55,917769.0
2023-05-23,1265.55,1270.75,1256.55,1268.55,1803954.0
2023-05-24,1260.0,1278.0,1254.5,1275.7,1369297.0
2023-05-25,1280.0,1280.8,1257.55,1277.8,2040166.0
2023-05-26,1290.0,1292.8,1268.35,1281.85,3507812.0
2023-05-29,1322.0,1350.0,1298.0,1330.15,6184042.0
2023-05-30,1329.95,1335.3,1320.0,1328.45,2493657.0
2023-05-31,1325.0,1328.25,1303.25,1319.0,5629378.0
2023-06-01,1319.0,1337.7,1312.8,1318.9,2364455.0
2023-06-02,1324.85,1345.0,1320.3,1341.4,2313553.0
2023-06-05,1349.8,1401.0,1346.35,1395.4,5105293.0
2023-06-06,1395.4,1414.9,1388.05,1411.2,2335838.0
2023-06-07,1422.8,1422.8,1395.0,1406.4,2491079.0
2023-06-08,1412.7,1415.55,1377.5,1381.05,1776072.0
2023-06-09,1380.75,1387.0,1363.0,1370.65,1881329.0
2023-06-12,1377.9,1384.8,1369.3,1381.4,1389300.0
2023-06-13,1383.15,1388.5,1368.2,1373.15,2516583.0
2023-06-14,1374.0,1381.0,1366.0,1378.65,904941.0
2023-06-15,1381.8,1407.2,1371.5,1392.75,1720070.0
2023-06-16,1399.0,1409.8,1394.2,1406.0,2128347.0
2023-06-19,1409.5,1415.35,1396.7,1400.5,1472161.0
2023-06-20,1402.6,1409.7,1380.7,1397.65,1039994.0
2023-06-21,1394.05,1402.75,1370.9,1377.25,1997851.0
2023-06-22,1379.0,1392.0,1374.95,1380.0,1291521.0
2023-06-23,1376.9,1379.3,1369.05,1374.35,1256449.0
2023-06-26,1375.0,1404.9,1370.7,1398.0,2278637.0
2023-06-27,1406.7,1417.0,1393.65,1401.5,2730931.0
2023-06-28,1408.95,1413.75,1390.2,1397.0,2604140.0
2023-06-30,1402.65,1461.0,1400.05,1456.0,4103774.0
2023-07-03,1470.0,1497.95,1459.3,1471.7,3596145.0
2023-07-04,1487.0,1487.0,1462.2,1467.55,1560746.0
2023-07-05,1463.95,1478.0,1457.1,1477.9,1453885.0
2023-07-06,1477.85,1552.1,1472.65,1549.1,5624887.0
2023-07-07,1546.9,1591.5,1541.7,1561.0,6881377.0
2023-07-10,1567.0,1578.2,1546.1,1553.0,2253641.0
2023-07-11,1558.25,1575.45,1552.25,1569.0,1560708.0
2023-07-12,1569.0,1579.35,1543.45,1570.0,2649549.0
2023-07-13,1576.0,1594.6,1558.55,1571.05,1853713.0
2023-07-14,1562.7,1564.9,1543.95,1545.0,2160138.0
2023-07-17,1559.0,1559.0,1529.55,1538.0,1514820.0
2023-07-18,1536.0,1541.8,1526.0,1536.5,1053431.0
2023-07-19,1530.2,1549.3,1524.25,1544.0,1075685.0
2023-07-20,1550.05,1553.75,1530.55,1545.95,1531626.0
2023-07-21,1548.95,1552.05,1520.3,1521.0,1662797.0
