ts,Open,High,Low,Close,Volume
2022-10-06,164.25,165.1,162.4,162.9,6455261.0
2022-10-07,163.1,164.85,161.35,164.3,8825910.0
2022-10-10,162.7,165.6,161.85,163.95,10484521.0
2022-10-11,164.4,164.4,160.3,161.05,13805649.0
2022-10-12,161.9,165.3,161.15,165.0,12495703.0
2022-10-13,164.85,166.8,164.25,164.75,9447428.0
2022-10-14,166.25,167.5,164.85,165.1,9587995.0
2022-10-17,165.1,169.05,164.0,168.45,13425997.0
2022-10-18,168.95,169.45,166.4,166.95,20635449.0
2022-10-19,166.5,168.1,163.85,164.05,6944788.0
2022-10-20,164.0,167.9,161.5,166.95,12020482.0
2022-10-21,167.5,168.45,164.5,165.05,7402559.0
2022-10-24,166.95,167.95,166.25,166.95,684792.0
2022-10-25,167.45,169.7,165.45,169.35,8130928.0
2022-10-27,169.9,171.5,167.55,170.65,16225086.0
2022-10-28,170.65,174.7,169.9,174.05,16185092.0
2022-10-31,169.9,174.0,169.05,173.1,24233657.0
2022-11-01,174.0,182.95,173.5,181.8,41100410.0
2022-11-02,181.9,182.7,180.0,180.95,22146269.0
2022-11-03,179.35,181.85,177.25,178.15,16719930.0
2022-11-04,179.05,179.5,176.35,176.95,14881671.0
2022-11-07,177.85,179.5,174.85,175.85,12796948.0
2022-11-09,177.75,177.75,172.25,173.4,14926885.0
2022-11-10,173.5,174.2,170.55,172.1,10668412.0
2022-11-11,173.0,173.6,169.65,171.45,16962961.0
2022-11-14,172.35,173.4,171.1,171.45,10224229.0
2022-11-15,172.3,174.15,171.4,172.1,13898931.0
2022-11-16,172.1,172.95,169.15,169.95,9778382.0
2022-11-17,169.95,170.8,167.5,168.3,12776718.0
2022-11-18,168.55,169.05,165.1,165.85,11132329.0
2022-11-21,165.0,166.2,164.15,164.4,12786885.0
2022-11-22,165.25,167.5,164.85,167.05,15198017.0
2022-11-23,167.85,168.25,166.25,168.05,12004748.0
2022-11-24,168.7,170.0,167.6,169.5,10985808.0
2022-11-25,170.25,171.25,168.6,169.75,12357718.0
2022-11-28,170.0,171.9,169.4,170.4,5471921.0
2022-11-29,171.0,171.6,169.05,170.15,7692955.0
2022-11-30,170.1,172.85,169.75,172.2,9133076.0
2022-12-01,173.5,173.65,170.85,172.2,9213974.0
2022-12-02,172.4,172.85,171.15,172.15,6375950.0
2022-12-05,173.05,175.65,171.4,175.15,9860951.0
2022-12-06,175.6,176.0,173.85,175.2,7008295.0
2022-12-07,174.1,175.0,171.3,171.85,7718515.0
2022-12-08,171.85,172.45,170.0,170.35,4224992.0
2022-12-09,171.2,171.75,168.0,169.5,6174802.0
2022-12-12,170.0,170.0,167.55,168.9,7153001.0
2022-12-13,169.75,170.0,168.05,169.2,5166993.0
2022-12-14,169.95,173.7,169.45,171.6,8562333.0
2022-12-15,172.0,174.05,171.7,172.1,10643536.0
2022-12-16,171.9,173.1,169.05,169.8,9432965.0
2022-12-19,169.8,172.25,169.5,171.8,7706791.0
2022-12-20,171.15,171.45,168.55,169.75,7387331.0
2022-12-21,170.0,171.05,166.6,167.95,8453007.0
2022-12-22,168.5,168.65,164.55,165.9,6978934.0
2022-12-23,164.3,166.35,162.35,163.0,5313120.0
2022-12-26,162.0,167.75,161.9,165.65,8321607.0
2022-12-27,167.0,168.2,164.55,165.2,9243759.0
2022-12-28,165.0,167.6,164.8,165.85,9652984.0
2022-12-29,165.0,167.4,164.0,166.75,19571340.0
2022-12-30,166.75,167.8,166.0,166.45,8626291.0
2023-01-02,167.05,168.55,166.4,168.0,7322962.0
2023-01-03,168.0,169.2,166.8,167.6,9629995.0
2023-01-04,167.85,168.5,164.7,166.6,11995082.0
2023-01-05,168.0,170.35,167.15,169.9,18887530.0
2023-01-06,170.45,172.15,168.55,169.0,13216749.0
2023-01-09,170.25,171.0,169.45,170.4,6012344.0
2023-01-10,170.4,170.7,167.15,167.95,7557693.0
2023-01-11,168.45,168.8,165.5,166.05,8463293.0
2023-01-12,166.9,167.2,165.55,165.95,7628932.0
2023-01-13,166.2,168.15,165.5,167.8,5090393.0
2023-01-16,168.65,168.65,164.65,165.95,10321015.0
2023-01-17,166.6,168.2,165.8,167.7,13015434.0
2023-01-18,167.5,169.7,167.1,169.45,5536057.0
2023-01-19,170.4,170.4,167.3,168.7,6812613.0
2023-01-20,169.9,169.9,167.65,168.7,8545359.0
2023-01-23,169.4,169.5,166.0,166.85,7787735.0
2023-01-24,167.2,167.55,165.4,166.05,7033092.0
2023-01-25,166.0,166.6,164.4,165.9,9257370.0
2023-01-27,166.25,167.05,164.0,166.3,13756671.0
2023-01-30,167.6,172.25,167.1,168.85,30768122.0
2023-01-31,169.85,172.65,167.35,171.15,24990701.0
2023-02-01,172.25,173.8,167.2,170.0,13878016.0
2023-02-02,170.0,170.85,165.5,166.9,19898080.0
2023-02-03,164.5,166.45,162.55,165.55,11730514.0
2023-02-06,164.5,166.85,164.05,166.05,7587843.0
2023-02-07,166.5,167.7,164.3,165.25,8699758.0
2023-02-08,165.6,165.75,164.1,165.5,8839686.0
2023-02-09,165.95,166.65,164.65,166.0,5507650.0
2023-02-10,165.1,165.8,164.1,165.0,9468345.0
2023-02-13,165.1,168.2,164.8,167.85,9829152.0
2023-02-14,168.5,168.5,164.85,166.05,12916373.0
2023-02-15,166.0,166.5,164.2,165.8,11855678.0
2023-02-16,166.0,167.7,165.6,167.4,7923121.0
2023-02-17,167.0,169.65,166.45,168.05,10182025.0
2023-02-20,167.7,170.0,167.25,167.9,6679716.0
