ts,Open,High,Low,Close,Volume
2022-10-06,1102.6,1112.13,1097.67,1099.47,13574840.0
2022-10-07,1096.08,1109.36,1096.08,1104.12,7842994.0
2022-10-10,1091.7,1097.42,1083.99,1092.07,6434898.0
2022-10-11,1095.79,1095.79,1067.24,1070.32,9367870.0
2022-10-12,1067.64,1081.13,1063.6,1078.2,7540708.0
2022-10-13,1076.45,1086.71,1071.32,1081.63,7450568.0
2022-10-14,1096.24,1096.86,1075.41,1076.13,9257954.0
2022-10-17,1069.01,1095.79,1063.83,1093.41,25679458.0
2022-10-18,1099.42,1118.03,1098.58,1112.7,12622882.0
2022-10-19,1114.17,1147.47,1108.36,1132.06,19568132.0
2022-10-20,1128.02,1143.45,1128.02,1135.1,8862430.0
2022-10-21,1138.32,1142.45,1119.85,1121.93,8377292.0
2022-10-24,1116.67,1135.96,1114.54,1125.68,3426236.0
2022-10-25,1134.37,1134.37,1106.68,1108.29,12437258.0
2022-10-27,1115.76,1120.5,1104.32,1112.65,12721356.0
2022-10-28,1118.94,1150.71,1116.42,1146.7,17903272.0
2022-10-31,1153.44,1162.49,1149.44,1157.34,12627074.0
2022-11-01,1180.22,1180.22,1138.46,1148.38,14196034.0
2022-11-02,1149.49,1157.61,1141.64,1155.55,9131690.0
2022-11-03,1148.38,1161.86,1146.2,1159.86,17061124.0
2022-11-04,1159.29,1180.22,1158.02,1176.93,12785546.0
2022-11-07,1176.13,1184.89,1168.42,1183.22,11986368.0
2022-11-09,1184.89,1190.18,1175.7,1182.03,11441894.0
2022-11-10,1175.68,1178.65,1163.42,1167.74,6065742.0
2022-11-11,1180.22,1196.56,1174.77,1194.65,12515056.0
2022-11-14,1194.18,1199.28,1182.56,1188.87,9193486.0
2022-11-15,1190.34,1192.2,1175.68,1183.53,7204616.0
2022-11-16,1184.76,1187.46,1171.75,1176.75,9876406.0
2022-11-17,1173.39,1186.12,1171.14,1179.79,6772546.0
2022-11-18,1183.28,1184.3,1167.1,1179.15,5391640.0
2022-11-21,1174.77,1174.77,1154.39,1157.93,6496840.0
2022-11-22,1155.25,1165.92,1151.39,1164.35,6721750.0
2022-11-23,1168.87,1170.19,1158.54,1160.72,6520366.0
2022-11-24,1164.79,1177.5,1156.71,1170.73,9546030.0
2022-11-25,1175.23,1191.52,1172.09,1188.21,7472498.0
2022-11-28,1184.26,1235.17,1135.73,1229.04,32053278.0
2022-11-29,1227.41,1239.98,1222.89,1231.15,11243346.0
2022-11-30,1231.29,1246.24,1224.8,1239.84,26601348.0
2022-12-01,1244.59,1250.58,1232.88,1236.19,9643998.0
2022-12-02,1239.23,1247.4,1225.88,1235.67,11782874.0
2022-12-05,1231.06,1233.22,1215.63,1217.65,15075836.0
2022-12-06,1209.77,1224.25,1207.91,1221.16,8737574.0
2022-12-07,1218.8,1223.34,1199.35,1203.14,8603236.0
2022-12-08,1207.46,1209.72,1198.42,1202.58,7885256.0
2022-12-09,1201.1,1207.46,1181.06,1184.35,12866828.0
2022-12-12,1173.64,1190.66,1173.41,1186.17,9637940.0
2022-12-13,1186.17,1195.2,1183.26,1191.57,8472326.0
2022-12-14,1197.31,1197.9,1185.21,1187.26,7390172.0
2022-12-15,1181.35,1187.03,1167.06,1170.39,8832800.0
2022-12-16,1167.06,1188.75,1161.22,1164.6,16101472.0
2022-12-19,1171.59,1182.03,1165.1,1179.9,7858846.0
2022-12-20,1172.91,1192.02,1164.79,1190.11,7592128.0
2022-12-21,1189.75,1195.2,1169.37,1173.18,8666982.0
2022-12-22,1179.31,1182.33,1165.13,1170.14,7575386.0
2022-12-23,1163.56,1175.91,1131.31,1135.82,10428176.0
2022-12-26,1141.52,1153.89,1131.38,1145.74,6090142.0
2022-12-27,1148.44,1156.98,1141.75,1155.12,5858940.0
2022-12-28,1152.08,1157.43,1144.59,1155.0,7583222.0
2022-12-29,1147.08,1157.02,1146.4,1154.48,7045312.0
2022-12-30,1155.3,1169.78,1153.48,1156.25,7410744.0
2023-01-02,1157.52,1170.69,1156.71,1169.28,5403780.0
2023-01-03,1164.35,1167.96,1156.52,1160.72,7786662.0
2023-01-04,1160.7,1162.54,1141.18,1143.25,9418622.0
2023-01-05,1145.49,1151.35,1136.64,1141.2,13864528.0
2023-01-06,1146.92,1156.59,1143.13,1151.58,6455490.0
2023-01-09,1155.39,1181.13,1154.5,1178.77,10901580.0
2023-01-10,1182.94,1182.94,1155.71,1161.34,8181346.0
2023-01-11,1158.66,1161.15,1144.4,1146.7,11701500.0
2023-01-12,1146.11,1149.58,1118.94,1121.93,17983774.0
2023-01-13,1115.94,1122.52,1105.14,1120.12,20962446.0
2023-01-16,1122.43,1125.59,1101.69,1109.45,13851064.0
2023-01-17,1115.76,1127.11,1112.4,1125.2,10930298.0
2023-01-18,1122.8,1130.79,1116.83,1123.34,13672566.0
2023-01-19,1122.52,1126.27,1115.15,1122.14,12139182.0
2023-01-20,1123.48,1123.48,1106.34,1108.79,15179282.0
2023-01-23,1111.68,1119.48,1100.78,1103.19,11136802.0
2023-01-24,1107.59,1109.25,1083.69,1096.67,16763742.0
2023-01-25,1095.08,1096.11,1080.35,1081.51,12591566.0
2023-01-27,1082.35,1083.69,1049.33,1060.99,26261766.0
2023-01-30,1058.43,1076.68,1044.49,1071.16,22135202.0
2023-01-31,1081.26,1083.83,1062.65,1068.48,23070028.0
2023-02-01,1080.33,1080.33,1046.31,1062.15,19670470.0
2023-02-02,1052.21,1065.83,1049.03,1056.27,13890520.0
2023-02-03,1066.28,1066.28,1040.86,1057.2,25111496.0
2023-02-06,1050.85,1053.57,1046.67,1049.24,15085334.0
2023-02-07,1049.49,1056.48,1040.86,1046.72,15386230.0
2023-02-08,1049.94,1071.23,1047.22,1067.62,21513228.0
2023-02-09,1068.3,1076.2,1059.47,1069.48,13392448.0
2023-02-10,1068.96,1068.96,1053.71,1060.68,10970400.0
2023-02-13,1062.29,1066.74,1050.19,1054.64,10525144.0
2023-02-14,1057.64,1081.22,1054.78,1079.49,14560770.0
2023-02-15,1078.54,1106.32,1077.18,1103.94,34062340.0
2023-02-16,1111.88,1118.39,1100.8,1103.07,17552412.0
2023-02-17,1098.51,1110.99,1094.24,1107.68,12006472.0
2023-02-20,1109.86,1112.02,1094.02,1095.97,8984312.0
2023-02-21,1100.33,1110.68,1095.04,1104.91,13532864.0
2023-02-22,1101.21,1103.05,1078.11,1079.86,11208190.0
2023-02-23,1079.45,1087.05,1071.89,1074.68,10014980.0
2023-02-24,1076.72,1087.69,1074.91,1082.03,9591386.0
2023-02-27,1081.26,1084.74,1067.51,1074.84,11386496.0
2023-02-28,1069.51,1074.45,1050.24,1054.28,22360838.0
2023-03-01,1064.01,1064.69,1054.59,1063.97,11742972.0
2023-03-02,1060.84,1067.49,1053.85,1055.87,9489192.0
2023-03-03,1066.35,1086.46,1062.9,1082.81,14888026.0
2023-03-06,1089.43,1100.6,1089.43,1093.38,10341556.0
2023-03-08,1093.38,1098.06,1082.62,1097.31,16045870.0
2023-03-09,1096.7,1097.1,1069.05,1070.94,16505066.0
2023-03-10,1062.88,1064.01,1050.87,1054.34,13556468.0
2023-03-13,1057.2,1064.01,1032.69,1037.0,12984588.0
2023-03-14,1034.96,1046.29,1029.99,1033.12,16294600.0
2023-03-15,1036.82,1043.27,1011.09,1015.47,22089340.0
2023-03-16,1018.17,1023.16,999.65,1010.4,18669406.0
2023-03-17,1018.96,1022.23,1004.41,1009.13,34581478.0
2023-03-20,1005.46,1007.73,989.57,999.21,19850206.0
2023-03-21,1007.25,1032.24,1006.36,1030.29,21757260.0
2023-03-22,1037.23,1040.16,1030.42,1033.42,11101422.0
2023-03-23,1029.51,1030.38,1018.19,1020.35,16519934.0
2023-03-24,1019.19,1021.34,997.74,1000.15,12581540.0
2023-03-27,1006.59,1023.16,998.74,1015.69,14288710.0
2023-03-28,1019.07,1024.29,1015.44,1020.44,12785008.0
2023-03-29,1016.35,1018.98,1003.69,1014.4,19117666.0
2023-03-31,1023.61,1063.76,1023.48,1058.13,28641020.0
2023-04-03,1064.47,1066.28,1050.85,1058.32,10464572.0
2023-04-05,1065.83,1065.83,1047.92,1055.77,16534150.0
2023-04-06,1052.28,1068.55,1052.28,1062.86,18742492.0
2023-04-10,1066.74,1066.92,1053.82,1055.32,13177570.0
2023-04-11,1059.47,1062.65,1054.96,1060.54,10718186.0
2023-04-12,1060.54,1074.82,1057.68,1065.22,18482264.0
2023-04-13,1068.1,1073.91,1063.11,1069.23,12583780.0
2023-04-17,1100.76,1100.76,1066.31,1074.66,18227500.0
2023-04-18,1078.99,1078.99,1055.84,1062.36,10578080.0
2023-04-19,1061.77,1070.32,1058.66,1067.64,12477750.0
2023-04-20,1068.6,1070.82,1058.61,1064.94,7124194.0
2023-04-21,1067.03,1071.73,1060.56,1066.28,7770798.0
2023-04-24,1078.09,1080.76,1065.83,1070.37,13151926.0
2023-04-25,1074.0,1080.63,1066.96,1078.56,9388498.0
2023-04-26,1079.9,1083.12,1068.58,1072.23,8761556.0
2023-04-27,1078.09,1082.17,1073.09,1079.02,9320008.0
2023-04-28,1081.26,1100.28,1081.15,1098.74,15824796.0
2023-05-02,1105.87,1110.22,1102.19,1108.07,13198306.0
