ts,Open,High,Low,Close,Volume
2022-10-06,959.27,969.87,952.0,964.93,858375.0
2022-10-07,970.0,986.67,960.03,967.17,950713.0
2022-10-10,953.33,967.87,945.33,954.57,799174.0
2022-10-11,964.17,973.1,937.5,948.7,1005252.0
2022-10-12,946.67,959.9,932.0,948.2,602991.0
2022-10-13,948.63,959.07,930.67,934.43,430230.0
2022-10-14,954.67,954.67,915.9,919.73,661369.0
2022-10-17,918.63,924.93,902.7,918.83,627783.0
2022-10-18,924.67,957.33,915.53,952.6,976762.0
2022-10-19,953.33,965.13,944.73,949.43,677140.0
2022-10-20,943.33,954.4,936.67,950.33,659481.0
2022-10-21,950.33,962.0,937.47,954.0,688342.0
2022-10-24,964.23,964.23,948.0,952.83,105384.0
2022-10-25,953.33,961.33,946.47,955.97,366331.0
2022-10-27,955.97,980.37,955.33,975.4,662209.0
2022-10-28,980.33,985.33,963.33,972.63,488304.0
2022-10-31,973.33,1028.67,973.33,1018.6,3127954.0
2022-11-01,1029.97,1044.0,1015.17,1038.37,1499490.0
2022-11-02,1043.33,1043.33,1011.43,1020.17,802497.0
2022-11-03,1007.33,1034.47,1002.57,1030.33,755962.0
2022-11-04,1033.2,1033.47,997.03,1004.0,887949.0
2022-11-07,1011.8,1015.67,991.0,1005.27,751863.0
2022-11-09,1004.63,1005.93,996.77,1001.17,492664.0
2022-11-10,996.67,999.53,973.03,980.6,877125.0
2022-11-11,981.4,1033.13,930.0,946.03,4218403.0
2022-11-14,955.7,961.07,934.03,951.37,1683745.0
2022-11-15,949.4,950.0,937.37,944.1,1064950.0
2022-11-16,944.1,950.0,924.73,929.9,701751.0
2022-11-17,930.67,940.57,919.33,931.13,1417147.0
2022-11-18,935.8,935.8,914.6,922.03,886684.0
2022-11-21,919.3,921.87,905.8,919.1,686064.0
2022-11-22,920.0,941.93,920.0,938.77,1155507.0
2022-11-23,938.77,947.97,933.33,940.2,2085415.0
2022-11-24,942.67,956.0,939.33,952.97,903132.0
2022-11-25,953.33,965.33,949.47,954.93,812263.0
2022-11-28,947.33,963.27,946.77,959.43,435790.0
2022-11-29,959.33,975.0,956.03,971.3,714033.0
2022-11-30,971.3,986.53,956.9,981.1,1440013.0
2022-12-01,982.37,986.0,970.4,976.07,588789.0
2022-12-02,976.0,984.93,973.6,979.13,429144.0
2022-12-05,975.1,987.33,965.8,983.7,692814.0
2022-12-06,980.0,992.0,973.7,983.83,752671.0
2022-12-07,984.03,988.73,970.0,975.6,350785.0
2022-12-08,977.33,977.63,963.2,972.07,488661.0
2022-12-09,978.67,978.67,955.27,972.0,572910.0
2022-12-12,970.0,971.0,960.07,966.37,399535.0
2022-12-13,966.0,973.27,960.07,962.33,589269.0
2022-12-14,962.8,973.7,961.07,967.57,371200.0
2022-12-15,966.17,973.3,952.07,957.33,575224.0
2022-12-16,951.5,954.97,934.0,938.2,757599.0
2022-12-19,930.0,949.5,925.33,945.37,701421.0
2022-12-20,945.37,947.53,930.57,941.6,406159.0
2022-12-21,940.67,946.77,903.93,910.93,878088.0
2022-12-22,912.0,920.0,878.8,888.3,1318590.0
2022-12-23,876.67,890.0,851.97,856.27,1773945.0
2022-12-26,859.97,910.0,854.33,905.0,1253067.0
2022-12-27,905.8,908.83,885.3,897.9,1302139.0
2022-12-28,896.67,904.33,889.73,897.6,848653.0
2022-12-29,894.03,900.0,872.2,899.07,858532.0
2022-12-30,903.57,907.43,893.4,900.9,466335.0
2023-01-02,905.33,905.6,888.0,894.77,293343.0
2023-01-03,894.67,900.0,886.7,898.27,350839.0
2023-01-04,897.3,902.37,866.7,871.6,884406.0
2023-01-05,874.67,874.67,848.2,853.27,926352.0
2023-01-06,854.0,859.7,824.0,832.1,1570287.0
2023-01-09,835.87,836.67,808.9,813.17,1278834.0
2023-01-10,816.67,823.43,801.3,815.77,882745.0
2023-01-11,820.07,823.33,803.33,807.13,1021417.0
2023-01-12,810.0,828.33,803.0,806.33,849651.0
2023-01-13,809.33,812.23,790.73,803.6,1228659.0
2023-01-16,804.63,810.97,794.67,798.27,558102.0
2023-01-17,799.97,799.97,787.23,795.4,792306.0
2023-01-18,798.67,821.5,793.93,815.2,1203897.0
2023-01-19,815.3,815.3,794.67,798.87,501648.0
2023-01-20,803.07,805.0,784.67,788.2,560922.0
2023-01-23,792.17,792.87,774.07,784.83,728112.0
2023-01-24,784.67,805.7,784.63,801.83,1760890.0
2023-01-25,803.9,812.97,790.07,808.07,1148233.0
2023-01-27,808.0,808.0,770.0,784.2,2052540.0
2023-01-30,786.6,793.33,774.2,786.9,1399498.0
2023-01-31,786.9,802.93,779.47,797.73,1448244.0
2023-02-01,802.67,843.33,794.77,810.67,2586589.0
2023-02-02,810.07,816.43,797.8,807.07,885000.0
2023-02-03,811.33,825.6,806.03,823.77,456480.0
2023-02-06,827.33,832.4,809.27,820.07,547510.0
2023-02-07,821.4,832.5,804.03,808.77,749472.0
2023-02-08,808.07,826.67,806.67,824.03,504765.0
2023-02-09,860.0,897.83,842.7,894.6,6155668.0
2023-02-10,894.6,901.73,880.4,885.87,1230241.0
2023-02-13,890.0,890.0,868.03,870.97,507438.0
2023-02-14,871.57,883.33,864.6,880.4,474904.0
2023-02-15,879.03,901.33,874.17,898.3,1232671.0
2023-02-16,900.0,914.0,892.23,908.73,876577.0
2023-02-17,906.67,919.27,900.1,907.1,803512.0
2023-02-20,906.7,909.27,888.87,895.9,585645.0
2023-02-21,895.33,904.97,886.43,892.07,863127.0
2023-02-22,885.97,901.63,882.33,895.9,834054.0
2023-02-23,896.67,896.67,876.57,882.13,521386.0
2023-02-24,888.0,894.63,866.2,870.37,614047.0
2023-02-27,870.83,871.53,848.0,859.23,629416.0
2023-02-28,859.23,871.77,848.67,852.1,1361752.0
2023-03-01,857.67,873.27,853.5,861.0,701307.0
2023-03-02,865.2,871.2,851.2,856.63,448900.0
2023-03-03,860.0,875.23,850.93,869.93,853371.0
2023-03-06,871.07,889.07,871.07,880.0,850260.0
2023-03-08,879.37,898.67,875.37,895.03,782286.0
2023-03-09,897.6,911.27,885.47,890.0,937906.0
2023-03-10,883.03,896.97,878.67,894.0,587976.0
2023-03-13,894.0,904.73,874.03,882.73,1047742.0
2023-03-14,887.4,900.67,864.63,891.87,939742.0
