ts,Open,High,Low,Close,Volume
2022-10-06,105.53,109.87,105.53,109.42,45260787.0
2022-10-07,109.27,109.46,107.5,109.24,22675322.0
2022-10-10,107.29,111.5,107.22,111.16,30566237.0
2022-10-11,112.27,114.33,106.65,107.05,56214073.0
2022-10-12,107.78,108.53,104.9,107.63,26838413.0
2022-10-13,109.57,110.36,107.53,109.65,29299452.0
2022-10-14,112.02,112.02,107.2,107.72,26923493.0
2022-10-17,106.93,106.95,103.9,104.8,24534651.0
2022-10-18,105.72,106.43,104.41,104.67,16232426.0
2022-10-19,105.16,105.89,103.4,103.75,13481178.0
2022-10-20,103.06,106.22,102.43,105.85,15080695.0
2022-10-21,106.28,106.6,103.94,104.82,14302437.0
2022-10-24,105.79,105.79,104.97,105.44,4292077.0
2022-10-25,105.53,105.68,104.3,104.78,14267846.0
2022-10-27,106.32,109.42,106.28,107.91,38297740.0
2022-10-28,108.43,108.43,104.61,106.6,25245689.0
2022-10-31,102.54,106.64,102.46,105.08,33659630.0
2022-11-01,105.36,108.08,105.16,107.36,24229208.0
2022-11-02,106.84,112.06,106.75,111.24,54323394.0
2022-11-03,109.46,113.88,109.46,113.35,52612370.0
2022-11-04,113.58,121.47,113.58,120.48,139289048.0
2022-11-07,121.42,121.42,111.72,114.72,103786710.0
2022-11-09,115.2,117.81,113.07,115.11,55474308.0
2022-11-10,113.91,115.92,113.76,114.94,23310233.0
2022-11-11,116.44,117.88,115.64,116.91,40809490.0
2022-11-14,117.88,120.13,117.15,117.79,52913470.0
2022-11-15,118.33,119.53,116.87,119.25,26731934.0
2022-11-16,119.75,120.0,115.86,116.74,26041797.0
2022-11-17,116.57,116.57,113.61,115.0,26759300.0
2022-11-18,116.91,118.76,115.41,116.16,50155040.0
2022-11-21,117.47,117.47,114.7,115.22,32003551.0
2022-11-22,115.8,116.72,114.72,116.05,26693061.0
2022-11-23,117.32,117.32,114.01,115.2,51695025.0
2022-11-24,115.62,116.53,115.17,116.35,26062365.0
2022-11-25,116.95,118.76,115.86,118.46,30837548.0
2022-11-28,118.82,118.95,115.88,116.22,45134130.0
2022-11-29,110.77,113.37,110.4,112.96,37883913.0
2022-11-30,112.64,114.94,112.51,113.9,27524327.0
2022-12-01,114.51,116.95,114.03,116.1,37958192.0
2022-12-02,116.07,118.2,115.41,117.45,38814019.0
2022-12-05,118.07,120.58,117.92,119.47,45473052.0
2022-12-06,119.19,119.34,117.17,117.67,20558242.0
2022-12-07,117.88,118.07,116.44,117.09,14834767.0
2022-12-08,117.02,118.44,116.42,117.45,15390519.0
2022-12-09,118.25,118.82,114.51,115.58,20419296.0
2022-12-12,115.52,115.86,112.1,115.6,22637700.0
2022-12-13,116.1,118.31,115.97,117.19,21840203.0
2022-12-14,117.69,119.0,117.51,118.27,21053552.0
2022-12-15,117.88,118.63,116.12,116.37,15618361.0
2022-12-16,116.01,117.81,114.89,115.19,20333754.0
2022-12-19,115.6,117.88,115.45,117.64,13754744.0
2022-12-20,117.47,117.66,114.92,116.8,20016888.0
2022-12-21,117.38,117.84,112.29,113.46,29378343.0
2022-12-22,114.4,115.06,111.69,113.03,24246179.0
2022-12-23,111.89,112.59,106.26,106.73,31681042.0
2022-12-26,106.93,111.31,105.46,110.81,20493027.0
2022-12-27,111.93,115.64,111.89,115.13,30063584.0
2022-12-28,114.87,114.87,113.8,114.1,14197863.0
2022-12-29,113.41,115.45,112.66,114.92,18272130.0
2022-12-30,115.82,117.45,115.04,115.41,16883346.0
2023-01-02,115.99,119.0,115.71,118.29,36039924.0
2023-01-03,118.29,120.35,117.6,119.58,28540939.0
2023-01-04,119.0,119.15,114.59,115.37,42849461.0
2023-01-05,116.01,116.76,115.06,116.51,17608186.0
2023-01-06,116.85,117.69,115.49,115.88,13286114.0
2023-01-09,116.83,118.59,116.83,118.07,16984681.0
2023-01-10,118.82,119.64,117.13,118.27,22096873.0
2023-01-11,118.69,119.77,118.44,119.06,16523628.0
2023-01-12,119.75,119.75,117.73,118.48,10825702.0
2023-01-13,118.63,120.5,118.37,119.45,22570524.0
2023-01-16,120.05,120.13,117.69,118.67,13970711.0
2023-01-17,118.67,119.19,117.32,118.98,11081461.0
2023-01-18,119.19,121.92,119.1,121.3,32705561.0
2023-01-19,121.1,124.99,120.33,123.79,37993473.0
2023-01-20,126.34,127.52,123.51,123.83,50915340.0
2023-01-23,123.85,125.16,122.91,123.18,12522460.0
2023-01-24,123.94,124.19,122.48,123.36,13690994.0
2023-01-25,123.49,124.5,121.47,122.09,18838106.0
2023-01-27,122.75,123.31,117.3,119.66,31184570.0
2023-01-30,119.75,121.57,118.39,120.46,25551979.0
2023-01-31,120.97,125.93,120.56,124.39,33561967.0
2023-02-01,126.11,126.58,120.26,122.75,31338715.0
2023-02-02,123.12,125.27,120.69,122.39,30219795.0
2023-02-03,119.94,120.82,115.26,117.62,30362028.0
2023-02-06,117.51,117.84,114.14,114.61,19348663.0
2023-02-07,114.51,115.62,111.95,115.32,27985970.0
2023-02-08,115.82,118.07,115.8,117.54,20894976.0
2023-02-09,117.86,118.14,115.64,116.05,13900758.0
2023-02-10,116.01,116.65,115.07,116.27,11319051.0
2023-02-13,116.38,117.81,115.26,115.54,13864930.0
2023-02-14,116.01,117.79,115.67,117.58,17548113.0
2023-02-15,117.47,118.18,116.42,117.13,15526558.0
2023-02-16,118.22,118.54,117.54,117.82,11667406.0
2023-02-17,117.82,118.97,117.13,117.51,11466673.0
2023-02-20,117.26,118.14,116.07,116.33,14066693.0
2023-02-21,116.63,117.47,114.89,115.28,16931499.0
2023-02-22,114.83,115.28,112.7,113.48,16479211.0
2023-02-23,113.22,114.79,112.88,113.35,12249725.0
2023-02-24,113.73,114.08,109.27,110.19,28035868.0
2023-02-27,110.0,110.0,105.06,107.53,28382679.0
2023-02-28,105.57,105.85,98.03,100.42,136304619.0
2023-03-01,99.94,104.75,99.6,104.26,50045397.0
2023-03-02,104.78,105.55,102.43,102.87,32011269.0
2023-03-03,103.62,108.86,103.49,108.24,43036437.0
2023-03-06,109.46,110.25,107.1,107.51,28545682.0
2023-03-08,106.24,106.86,103.79,106.67,24475598.0
2023-03-09,107.4,108.82,106.5,106.84,16502406.0
2023-03-10,105.12,106.64,101.99,104.73,32281048.0
2023-03-13,104.02,107.55,103.15,104.33,29718431.0
2023-03-14,105.44,105.44,103.12,104.56,21450768.0
2023-03-15,105.92,106.62,104.67,104.93,16953558.0
2023-03-16,103.62,104.32,100.59,102.93,31244550.0
2023-03-17,104.78,107.33,103.85,106.47,38533077.0
2023-03-20,105.18,106.02,102.91,104.75,21492169.0
2023-03-21,105.53,106.43,105.23,106.17,12450962.0
2023-03-22,106.65,107.7,104.82,106.78,24865289.0
2023-03-23,106.65,106.65,100.01,101.51,84500544.0
2023-03-24,104.41,104.6,100.39,100.95,56404253.0
2023-03-27,101.6,102.61,100.87,102.07,24696038.0
2023-03-28,102.84,103.21,101.04,102.63,28873144.0
2023-03-29,103.66,105.7,102.13,105.44,66059224.0
2023-03-31,106.64,106.65,102.16,103.02,111026428.0
2023-04-03,104.02,105.91,103.51,105.68,36705941.0
2023-04-05,106.28,107.5,104.93,107.12,43480558.0
2023-04-06,99.71,102.72,99.54,102.24,61449645.0
2023-04-10,102.16,102.16,100.7,101.0,25323624.0
2023-04-11,102.16,102.48,101.1,102.07,23544298.0
2023-04-12,102.18,103.51,102.16,103.14,18734273.0
2023-04-13,102.91,104.33,102.46,103.17,18157704.0
2023-04-17,102.91,104.69,102.35,104.39,21749458.0
2023-04-18,104.41,104.9,103.66,104.63,12315602.0
2023-04-19,105.16,106.28,104.78,105.36,25993326.0
2023-04-20,104.99,105.85,104.33,104.63,11698636.0
2023-04-21,104.63,104.73,103.29,103.57,12287443.0
2023-04-24,103.1,103.57,102.39,103.01,11984395.0
2023-04-25,103.25,105.31,103.08,104.3,15218291.0
2023-04-26,103.88,104.02,102.99,103.36,9539878.0
2023-04-27,103.44,103.96,102.91,103.32,9858563.0
2023-04-28,103.66,104.78,103.38,104.54,12925509.0
2023-05-02,105.53,105.85,104.82,105.19,13038471.0
2023-05-03,104.5,104.88,103.47,104.13,12259909.0
2023-05-04,104.24,105.12,103.81,104.09,10608210.0
